record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,reference_id,reference_type,code,name,origin,destination,mode,lead_time_days,currency
mdm-08-837b6ae3fae7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3a68302c42f,LANE-008,TRANSPORT_LANE,LN008,PERTH→ULSAN,PERTH,ULSAN,SEA,19,USD
mdm-08-34210d417d97,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a820fdb62ac3,LANE-009,TRANSPORT_LANE,LN009,VALPARAISO→ULSAN,VALPARAISO,ULSAN,SEA,20,USD
mdm-08-d771cc148d73,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6565b271b922,LANE-010,TRANSPORT_LANE,LN010,SHANGHAI→ULSAN,SHANGHAI,ULSAN,SEA,21,USD
mdm-08-f1808669a5db,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-171ffac1f5bb,LANE-011,TRANSPORT_LANE,LN011,BUSAN→ULSAN,BUSAN,ULSAN,SEA,22,USD
mdm-08-c0345796e01a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f38b27f2282f,LANE-012,TRANSPORT_LANE,LN012,ULSAN→ULSAN,ULSAN,ULSAN,SEA,23,USD
mdm-08-51d16947cf30,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-431377303a8f,LANE-013,TRANSPORT_LANE,LN013,JAKARTA→ULSAN,JAKARTA,ULSAN,SEA,24,USD
mdm-08-4e08d9b5b46a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7bee02c550a,LANE-014,TRANSPORT_LANE,LN014,PERTH→ULSAN,PERTH,ULSAN,SEA,25,USD
mdm-08-9d7b265ffa35,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3fc17633d7ed,LANE-015,TRANSPORT_LANE,LN015,VALPARAISO→ULSAN,VALPARAISO,ULSAN,SEA,26,USD
mdm-08-a0e4c4018efa,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-99f769055ba5,LANE-016,TRANSPORT_LANE,LN016,SHANGHAI→ULSAN,SHANGHAI,ULSAN,SEA,27,USD
mdm-08-932223373645,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-58c15f56006c,LANE-017,TRANSPORT_LANE,LN017,BUSAN→ULSAN,BUSAN,ULSAN,SEA,28,USD
mdm-08-9724bad66d74,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5d157a068f53,LANE-018,TRANSPORT_LANE,LN018,ULSAN→ULSAN,ULSAN,ULSAN,SEA,29,USD
mdm-08-0f38daa933d2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6961451cedd6,LANE-019,TRANSPORT_LANE,LN019,JAKARTA→ULSAN,JAKARTA,ULSAN,SEA,30,USD
mdm-08-c40100223ba0,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cdcc0dc4a3c2,LANE-020,TRANSPORT_LANE,LN020,PERTH→ULSAN,PERTH,ULSAN,SEA,31,USD
mdm-08-b3d0cf2caa7e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0197b3aec2eb,LANE-021,TRANSPORT_LANE,LN021,VALPARAISO→ULSAN,VALPARAISO,ULSAN,SEA,32,USD
mdm-08-1b4b67c813ae,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46d21f496d06,LANE-022,TRANSPORT_LANE,LN022,SHANGHAI→ULSAN,SHANGHAI,ULSAN,SEA,33,USD
mdm-08-3e7572685378,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-82d588c2bbcc,LANE-023,TRANSPORT_LANE,LN023,BUSAN→ULSAN,BUSAN,ULSAN,SEA,34,USD
mdm-08-78e0b3c6e39d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8bbc5318230b,LANE-024,TRANSPORT_LANE,LN024,ULSAN→ULSAN,ULSAN,ULSAN,SEA,35,USD
mdm-08-040d7e7b59c2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46c3e4d3f001,LANE-025,TRANSPORT_LANE,LN025,JAKARTA→ULSAN,JAKARTA,ULSAN,SEA,36,USD
mdm-08-f0bf46fdc68a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e53f9bee847e,LANE-026,TRANSPORT_LANE,LN026,PERTH→ULSAN,PERTH,ULSAN,SEA,37,USD
mdm-08-5f9f1da7fed1,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dad2c5877347,LANE-027,TRANSPORT_LANE,LN027,VALPARAISO→ULSAN,VALPARAISO,ULSAN,SEA,38,USD
mdm-08-a44093f30dec,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3f4f84880d66,LANE-028,TRANSPORT_LANE,LN028,SHANGHAI→ULSAN,SHANGHAI,ULSAN,SEA,39,USD
mdm-08-62bb933c4dea,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8e2f27db772,LANE-029,TRANSPORT_LANE,LN029,BUSAN→ULSAN,BUSAN,ULSAN,SEA,40,USD
mdm-08-f94a7863f1bd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de7c32e86f73,LANE-030,TRANSPORT_LANE,LN030,ULSAN→ULSAN,ULSAN,ULSAN,SEA,41,USD
