법인명,KSIC,영위업종,종업원수,매출액_백만,A세분류,B1주업종,B1_2단,B2부업종,밸류체인,묶음노드,모수계층,쟁점
해태에이치티비(주),C1120,비알코올 음료 및 얼음 제조업,649,374197,완제품제조,식품·음료,,,농식품|최종소비재,,T2,
하이엠솔루텍(주),S9531,가전제품 수리업,1382,371581,인적서비스,전자·정밀,전자기기·모듈,사업지원서비스,최종소비재,,T2,가전 AS — 제조 그룹의 서비스
(주)에이치에스애드,M7131,광고 대행업,809,333307,인적서비스,미디어·광고·영상,,,콘텐츠·미디어,,T2,광고대행
(주)비즈테크아이,J6202,컴퓨터시스템 통합 자문 구축 및 관리업,903,327839,인적서비스,소프트웨어·IT,,,통신·데이터,,T2,SI
(주)미디어로그,J6129,기타 전기 통신업,347,327766,시설·자산운영,통신·네트워크,,,통신·데이터,,T2,MVNO
하이케어솔루션(주),N7599,그 외 기타 사업지원 서비스업,438,316037,인적서비스,사업지원서비스,,전자·정밀,최종소비재,,T2,가전 케어
(주)엘지경영개발원,M7153,경영 컨설팅 및 공공 관계 서비스업,627,279677,인적서비스,전문서비스,,,,,T2,그룹 컨설팅 — 전문서비스 첫 실증
(주)디앤오,L6811,부동산 임대업,1003,227023,시설·자산운영,부동산·임대,,사업지원서비스,건설·인프라,,T2,그룹 부동산 운영
(주)하이텔레서비스,N7599,그 외 기타 사업지원 서비스업,1077,172730,인적서비스,사업지원서비스,,,,,T2,컨택센터 BPO
태극제약(주),C2121,완제 의약품 제조업,369,137904,소재제조,의약·바이오,완제의약품,,바이오·제약,,T2,
(주)유플러스홈서비스,F4232,통신 공사업,1457,124859,시공·건설,건설·시공,,통신·네트워크,통신·데이터,,T2,통신 설비 공사
(주)씨에스원파트너,N7599,그 외 기타 사업지원 서비스업,1483,100315,인적서비스,사업지원서비스,,,,,T2,
(주)엘지스포츠,R9119,기타 스포츠 서비스업,57,96755,인적서비스,레저·숙박·스포츠,,,최종소비재,,T2,프로야구·농구단
(주)아인텔레서비스,N7599,그 외 기타 사업지원 서비스업,1207,83870,인적서비스,사업지원서비스,,,,,T2,
(주)로보스타,C2928,산업용 로봇 제조업,209,74679,완제품제조,기계·운송기기,산업기계·로봇,,,,T1,코스닥 상장
(주)비바웨이브,C2042,세제 화장품 및 광택제 제조업,77,61512,완제품제조,화장품·뷰티,,,최종소비재,,T2,
(주)에프엠지,C2042,세제 화장품 및 광택제 제조업,71,57166,완제품제조,화장품·뷰티,,,최종소비재,,T2,
에이스냉동공조(주),C2917,냉각 공기조화 여과 증류 및 가스발생기 제조업,89,53216,완제품제조,기계·운송기기,산업기계·로봇,,건설·인프라,,T2,
지케이더블유라이팅시스템즈코리아(주),C2842,조명장치 제조업,31,49350,부품제조,전자·정밀,전자기기·모듈,,자동차,,T2,차량 조명 합작
(주)씨브이파트너스,N7599,그 외 기타 사업지원 서비스업,666,47415,인적서비스,사업지원서비스,,,,,T2,
(주)씨에스리더,N7599,그 외 기타 사업지원 서비스업,709,47385,인적서비스,사업지원서비스,,,,,T2,
(주)베어로보틱스코리아,M7012,공학 연구개발업,182,46459,인적서비스,전문서비스,,기계·운송기기,,,T2,로봇 R&D — 연구개발업
(주)엘지유플러스볼트업,D3513,전기 판매업,57,46211,시설·자산운영,에너지·자원·환경,,,신재생에너지,,T2,전기차 충전
(주)데이콤크로싱,J6121,유선 통신업,18,44019,시설·자산운영,통신·네트워크,,,통신·데이터,,T2,해저케이블
(주)디앤오씨엠,M7212,엔지니어링 서비스업,135,33117,인적서비스,전문서비스,,건설·시공,건설·인프라,,T2,건설사업관리(CM)
(주)비즈테크온,N7512,인력 공급업,395,31520,인적서비스,고용·인력,,,,,T2,인력 공급 — 고용·인력 실증
(주)나눔누리,N7421,건물 및 산업설비 청소업,635,28361,인적서비스,사업지원서비스,,,,,T2,
(주)하누리,N7410,사업시설 유지․관리 서비스업,504,25961,인적서비스,사업지원서비스,,,,,T2,
(주)한국음료,C1120,비알코올 음료 및 얼음 제조업,46,23401,완제품제조,식품·음료,,,농식품|최종소비재,,T2,
(주)미래엠,I5510,일반 및 생활 숙박시설 운영업,78,21372,시설·자산운영,레저·숙박·스포츠,,,최종소비재,,T2,연수원·숙박
(주)헬로커넥트앤,F4232,통신 공사업,309,18733,시공·건설,건설·시공,,통신·네트워크,통신·데이터,,T2,
이노위드(주),N7512,인력 공급업,349,18295,인적서비스,고용·인력,,,,,T2,
(주)아름누리,N7421,건물 및 산업설비 청소업,274,13219,인적서비스,사업지원서비스,,,,,T2,
(주)라이트브레인,J6201,컴퓨터 프로그래밍 서비스업,89,11168,인적서비스,소프트웨어·IT,,,,,T2,UX 디자인
(주)위드유,N7599,그 외 기타 사업지원 서비스업,205,10666,인적서비스,사업지원서비스,,,,,T2,
(주)루치펠로코리아,C2042,세제 화장품 및 광택제 제조업,10,8965,완제품제조,화장품·뷰티,,,최종소비재,,T2,
(주)행복누리,N7421,건물 및 산업설비 청소업,138,8865,인적서비스,사업지원서비스,,,,,T2,
(주)울릉샘물,C1120,비알코올 음료 및 얼음 제조업,11,4416,완제품제조,식품·음료,,,농식품|최종소비재,,T2,
(주)행복마루,N7421,건물 및 산업설비 청소업,110,4289,인적서비스,사업지원서비스,,,,,T2,
동남태양광발전(주),D3511,발전업,1,3179,시설·자산운영,에너지·자원·환경,,,신재생에너지,,T2,태양광 발전
(주)밝은누리,N7421,건물 및 산업설비 청소업,92,3634,인적서비스,사업지원서비스,,,,,T2,
(주)고운누리,G4721,신선식품 및 단순 가공식품 소매업,14,487,소매,식품·음료,,,최종소비재,,T2,구내매점 추정
(주)디앤오리츠운용,L6821,부동산 관리업,9,0,,,,,,,모수밖,매출 0 — 리츠 AMC 설립 단계
(주)엘지에니바이오리파이닝,C2049,그 외 기타 화학제품 제조업,20,0,,,,,,,모수밖,매출 0 — 사업 준비 단계
농업회사법인 (주)에프앤아이,A0112,채소 화훼작물 및 종묘 재배업,0,0,,,,,,,모수밖,매출 0 · 종업원 0
엘지파루크(주),G4644,의약품 의료용품 및 화장품 도매업,0,0,,,,,,,모수밖,매출 0 · 종업원 0 — 합작 청산 추정
티더블유바이오매스에너지(주),D3530,증기 냉․온수 및 공기조절 공급업,23,0,,,,,,,모수밖,매출 0 — 자산 2314억이나 미가동
(주)엘지에이치와이비씨엠,C2012,기초 무기 화학물질 제조업,185,412784,소재제조,화학·소재,전자·전지소재,,이차전지,,T2,LG-화유 합작 전구체
