사전,키,판정,걸린회사,KSIC,매출액_백만원,현재판정,근거,파일
반도체 후공정(OSAT),에이엘티,전자·정밀 > 반도체 후공정·부품,(주)에이엘티,C2612,48358,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),엘비루셈,전자·정밀 > 반도체 후공정·부품,(모수에 없음),,,,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),코스텍시스,전자·정밀 > 반도체 후공정·부품,(주)코스텍시스,C261,15220,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),코스텍시스,전자·정밀 > 반도체 후공정·부품,코스텍시스템 주식회사,C29271,,완제품제조×기계·운송기기>생산장비,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),한양디지텍,전자·정밀 > 반도체 후공정·부품,한양디지텍(주),C2611,651051,부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),아이테스트,전자·정밀 > 반도체 후공정·부품,(모수에 없음),,,,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 후공정(OSAT),테스나,전자·정밀 > 반도체 후공정·부품,(주)두산테스나,C2611,"303,874",부품제조×전자·정밀>반도체 후공정·부품,KSIC C2611/C2612 에 IDM·파운드리와 섞여 있다,ksic_rules._후공정
반도체 팹리스,엘엑스세미콘,전자·정밀 > 팹리스,(주)엘엑스세미콘,C2612,"1,639,071",부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,실리콘웍스,전자·정밀 > 팹리스,(모수에 없음),,,,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,아나패스,전자·정밀 > 팹리스,(주)아나패스,C2611,108165,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,가온칩스,전자·정밀 > 팹리스,(주)가온칩스,C26112,68510,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,에이디테크놀로지,전자·정밀 > 팹리스,(주)에이디테크놀로지,C2611,164511,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,칩스앤미디어,전자·정밀 > 팹리스,(주)칩스앤미디어,C261,27075,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,픽셀플러스,전자·정밀 > 팹리스,(주)픽셀플러스,C2629,42707,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,동운아나텍,전자·정밀 > 팹리스,(주)동운아나텍,C2611,127630,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,넥스트칩,전자·정밀 > 팹리스,(주)넥스트칩,C26112,39653,부품제조×전자·정밀>팹리스,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 팹리스,오픈엣지테크놀로지,전자·정밀 > 팹리스,오픈엣지테크놀로지 주식회사,J582,16058,콘텐츠·SW×소프트웨어·IT,설계 전문 — 제조 설비가 없는데 IDM 과 같은 코드다,ksic_rules._팹리스
반도체 소재(무기재료계),에스케이실트론,전자·정밀 > 반도체 소재,에스케이실트론(주),C2612,"2,077,298",소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),에스케이실트론,전자·정밀 > 반도체 소재,에스케이실트론씨에스에스코리아(주),G4659,"1,287",도매·상사×기계·운송기기,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),원익큐엔씨,전자·정밀 > 반도체 소재,(주)원익큐엔씨,C2612,"396,918",소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),하나머티리얼즈,전자·정밀 > 반도체 소재,하나머티리얼즈(주),C2612,273481,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),티씨케이,전자·정밀 > 반도체 소재,(주)티씨케이,C23999,301334,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),월덱스,전자·정밀 > 반도체 소재,(주)월덱스,C262,291764,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),에프에스티,전자·정밀 > 반도체 소재,(주)에프에스티,C2629,280262,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),덕산하이메탈,전자·정밀 > 반도체 소재,덕산하이메탈(주),C261,236404,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),엠케이전자,전자·정밀 > 반도체 소재,엠케이전자(주),C262,1403822,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),미코,전자·정밀 > 반도체 소재,(주)미코,C261,977036,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),미코,전자·정밀 > 반도체 소재,(주)코미코,C29271,604110,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),미코,전자·정밀 > 반도체 소재,아미코젠(주),C108,41981,완제품제조×식품·음료,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),케이엔제이,전자·정밀 > 반도체 소재,(주)케이엔제이,C261,84444,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),케이엔제이,전자·정밀 > 반도체 소재,케이엔제이네트웍스 주식회사,G46800,,도매·상사×다품목·범용>종합상사,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(무기재료계),코미코,전자·정밀 > 반도체 소재,(주)코미코,C29271,604110,소재제조×전자·정밀>반도체 소재,웨이퍼·쿼츠·SiC — 소자로 신고돼 있다,ksic_rules._반도체소재_전자
반도체 소재(화학계),솔브레인,화학·소재 > 전자·전지소재,솔브레인 주식회사,C204,923381,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),솔브레인,화학·소재 > 전자·전지소재,솔브레인홀딩스(주),M715,,지주·투자×다품목·범용,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),솔브레인,화학·소재 > 전자·전지소재,솔브레인라사 주식회사,C20129,,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),동진쎄미켐,화학·소재 > 전자·전지소재,(주)동진쎄미켐,C20129,1194144,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),에스케이스페셜티,화학·소재 > 전자·전지소재,에스케이스페셜티 주식회사,C2012,749391,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),후성,화학·소재 > 전자·전지소재,(주)후성,C20129,471564,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),후성,화학·소재 > 전자·전지소재,후성코퍼레이션 주식회사,G46739,,도매·상사×화학·소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),후성,화학·소재 > 전자·전지소재,후성홀딩스 (주),M71531,,지주·투자×다품목·범용,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),한솔케미칼,화학·소재 > 전자·전지소재,(주)한솔케미칼,C2012,"683,182",소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),퓨릿,화학·소재 > 전자·전지소재,(주)퓨릿,C20119,142546,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),엘티씨,화학·소재 > 전자·전지소재,엘티씨(주),C20119,310384,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),엘티씨,화학·소재 > 전자·전지소재,엘티씨에이엠 주식회사,C27212,,완제품제조×전자·정밀>전자기기·모듈,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),디엔에프,화학·소재 > 전자·전지소재,(주)디엔에프,C2049,79133,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),레이크머티리얼즈,화학·소재 > 전자·전지소재,(주)레이크머티리얼즈,C204,141233,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),원익머트리얼즈,화학·소재 > 전자·전지소재,(주)원익머트리얼즈,C2012,"302,891",소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),에스케이트리켐,화학·소재 > 전자·전지소재,에스케이트리켐(주),C2049,"154,798",소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),티이엠씨,화학·소재 > 전자·전지소재,티이엠씨 주식회사,C20121,279708,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),티이엠씨,화학·소재 > 전자·전지소재,티이엠씨씨엔에스(주),C292,168040,완제품제조×기계·운송기기>생산장비,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),오션브릿지,화학·소재 > 전자·전지소재,(모수에 없음),,,,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
반도체 소재(화학계),이엔에프테크놀로지,화학·소재 > 전자·전지소재,(주)이엔에프테크놀로지,C2049,670896,소재제조×화학·소재>전자·전지소재,전구체·특수가스·PR — 일반 화학과 같은 코드다,ksic_rules._반도체소재_화학
회사별 약어 부문,삼성전자 「DS」,부품제조 × 전자·정밀 > 반도체·소자,삼성전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전자 「DX」,완제품제조 × 전자·정밀 > 전자기기·모듈,삼성전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전자 「SDC」,부품제조 × 전자·정밀 > 디스플레이 패널,삼성전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전자 「HARMAN」,부품제조 × 전자·정밀 > 전자기기·모듈,삼성전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,에스케이하이닉스 「DRAM」,부품제조 × 전자·정밀 > 반도체·소자,에스케이하이닉스,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,에스케이하이닉스 「NAND」,부품제조 × 전자·정밀 > 반도체·소자,에스케이하이닉스,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「HS」,완제품제조 × 전자·정밀 > 전자기기·모듈,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「VS」,부품제조 × 전자·정밀 > 전자기기·모듈,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「ES」,완제품제조 × 기계·운송기기 > 냉난방공조,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「BS」,완제품제조 × 전자·정밀 > 전자기기·모듈,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,씨제이제일제당 「FEED」,완제품제조 × 식품·음료,씨제이제일제당,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,한화솔루션 「큐셀」,완제품제조 × 전자·정밀 > 전자기기·모듈,한화솔루션,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「MS」,완제품제조 × 전자·정밀 > 전자기기·모듈,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지전자 「이노텍」,부품제조 × 전자·정밀 > 전자기기·모듈,엘지전자,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지생활건강 「HDB」,완제품제조 × 생활용품·가구,엘지생활건강,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지생활건강 「BEAUTY」,완제품제조 × 화장품·뷰티,엘지생활건강,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지생활건강 「REFRESHMENT」,완제품제조 × 식품·음료,엘지생활건강,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전기 「컴포넌트」,부품제조 × 전자·정밀 > 수동부품,삼성전기,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전기 「패키지솔루션」,부품제조 × 전자·정밀 > 기판·PCB,삼성전기,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,삼성전기 「광학솔루션」,부품제조 × 전자·정밀 > 전자기기·모듈,삼성전기,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,현대모비스 「모듈」,부품제조 × 기계·운송기기 > 완성차·부품,현대모비스,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,현대모비스 「A/S」,부품제조 × 기계·운송기기 > 완성차·부품,현대모비스,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
회사별 약어 부문,엘지화학 「에너지솔루션」,부품제조 × 전자·정밀 > 전지·전원부품,엘지화학,,,,부문명이 약어라 이름으로 판정할 수 없다,segment_rules.ABBREV
약어→법인(이중계상 방지),삼성전자 「SDC」,→ 삼성디스플레이(주) 로 본다(부문 제외),삼성디스플레이(주),,,,약어는 법인명과 겹치지 않아 is_affiliate 가 못 잡는다,segment_rules.ABBREV_법인
약어→법인(이중계상 방지),삼성전자 「HARMAN」,→ 하만인터내셔널 로 본다(부문 제외),하만인터내셔널,,,,약어는 법인명과 겹치지 않아 is_affiliate 가 못 잡는다,segment_rules.ABBREV_법인
약어→법인(이중계상 방지),엘지전자 「이노텍」,→ 엘지이노텍(주) 로 본다(부문 제외),엘지이노텍(주),,,,약어는 법인명과 겹치지 않아 is_affiliate 가 못 잡는다,segment_rules.ABBREV_법인
밸류체인 회사특정 키워드,에너지머티리얼,밸류체인 이차전지,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
밸류체인 회사특정 키워드,아이피에스,밸류체인 반도체,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
밸류체인 회사특정 키워드,에코프로,밸류체인 이차전지,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
밸류체인 회사특정 키워드,실트론,밸류체인 반도체,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
밸류체인 회사특정 키워드,테스나,밸류체인 반도체,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
밸류체인 회사특정 키워드,모비스,밸류체인 자동차,,,,,소재·장비사는 자기 KSIC 가 화학·기계다,valuechain_rules.KEYWORDS
