회사명,KSIC,매출_억,현재판정,공정위KSIC,DART_KSIC,의심점수,사유,법인등록번호,매출액_백만원
에스엠하이플러스(주),J5822,888,콘텐츠·SW×소프트웨어·IT,J5822,K66199,2.1,정보(J5822) ↔ 금융(K66199),1311110191187,"88,885"
(주)명성라이픽스,J5822,873,콘텐츠·SW×소프트웨어·IT,J5822,G4659,2.1,정보(J5822) ↔ 유통(G4659),1101110819198,"87,303"
브랜드유니버스(주),N7599,802,인적서비스×사업지원서비스,N7599,G47631,2.1,서비스(N7599) ↔ 유통(G47631),1101118415518,"80,280"
(주)덕원이앤씨,L6812,668,시설·자산운영×부동산·임대,L6812,F411,2.1,부동산(L6812) ↔ 건설(F411),1311110360948,"66,880"
(주)케이오지엔터테인먼트,J5920,661,콘텐츠·SW×음악·공연·엔터,J5920,M73901,2.1,정보(J5920) ↔ 서비스(M73901),1101116937134,"66,101"
대신자산신탁(주),K6420,607,금융×자산운용업,K6420,L6812,2.1,금융(K6420) ↔ 부동산(L6812),1101117124665,"60,745"
에스케이핀크스(주),R9112,576,시설·자산운영×레저·숙박·스포츠,R9112,I55101,2.1,서비스(R9112) ↔ 서비스(I55101),2241110003760,"57,603"
(주)케이엠솔루션,H5291,534,시설·자산운영×부동산·임대,H5291,G4610,2.1,운송(H5291) ↔ 유통(G4610),1101116754265,"53,481"
(주)엔에이치테크,F4241,533,시공·건설×건설·시공,F4241,S95110,2.1,건설(F4241) ↔ 서비스(S95110),1101112744327,"53,375"
(주)더블유제이노체앤코,S9699,519,인적서비스×사업지원서비스,S9699,I56129,2.1,서비스(S9699) ↔ 서비스(I56129),1101113843673,"51,923"
(주)베어로보틱스코리아,M7012,464,소재제조×의약·바이오>신약개발,M7012,J58221,2.0,서비스(M7012) ↔ 정보(J58221),1101116516532,"46,459"
(주)농심캐피탈,K6491,413,금융×여신전문금융업,K6491,N75999,2.0,금융(K6491) ↔ 서비스(N75999),1801110607482,"41,311"
(주)블루원,R9112,396,시설·자산운영×레저·숙박·스포츠,R9112,I55103,2.0,서비스(R9112) ↔ 서비스(I55103),1712110081362,"39,690"
에이치엔이앤씨(주),L6812,376,시설·자산운영×부동산·임대,L6812,F412,2.0,부동산(L6812) ↔ 건설(F412),1101116458271,"37,664"
(주)승산,I5590,354,시설·자산운영×레저·숙박·스포츠,I5590,L68112,2.0,서비스(I5590) ↔ 부동산(L68112),1101110110653,"35,458"
(주)부산이앤이,D3511,349,시설·자산운영×에너지·자원·환경,D3511,E38,2.0,시설(D3511) ↔ 시설(E38),1801110721109,"34,947"
(주)어도어,J5920,295,콘텐츠·SW×음악·공연·엔터,J5920,M73901,2.0,정보(J5920) ↔ 서비스(M73901),1101118077318,"29,553"
(주)디케이랜드,F4111,275,시공·건설×건설·시공,F4111,L68121,2.0,건설(F4111) ↔ 부동산(L68121),2001110129100,"27,585"
애경자산관리(주),R9121,271,시설·자산운영×레저·숙박·스포츠,R9121,G47111,2.0,서비스(R9121) ↔ 유통(G47111),1101110028575,"27,121"
(주)지마린서비스,H5292,270,운송·보관×창고·물류,H5292,N75999,2.0,운송(H5292) ↔ 서비스(N75999),1801110566133,"27,029"
삼동흥산(주),J6202,249,인적서비스×소프트웨어·IT,J6202,G46721,2.0,정보(J6202) ↔ 유통(G46721),1101110332801,"24,921"
(주)야나두,P8550,237,인적서비스×교육,P8550,J58222,2.0,서비스(P8550) ↔ 정보(J58222),1311110213981,"23,715"
중앙일보에스(주),J5812,235,콘텐츠·SW×미디어·광고·영상,J5812,M71399,2.0,정보(J5812) ↔ 서비스(M71399),1101112831679,"23,582"
강원흥업(주),S9521,227,인적서비스×기계·운송기기>완성차·부품,S9521,H49220,2.0,서비스(S9521) ↔ 운송(H49220),1411110000039,"22,783"
(주)사조시스템즈,L6811,205,시설·자산운영×부동산·임대,L6811,J62,2.0,부동산(L6811) ↔ 정보(J62),1101110335178,"20,509"
수소에너지네트워크(주),D3520,200,시설·자산운영×에너지·자원·환경,D3520,G47712,2.0,시설(D3520) ↔ 유통(G47712),1101117032800,"20,089"
동원로엑스냉장(주),H5210,191,운송·보관×창고·물류,H5210,G46102,2.0,운송(H5210) ↔ 유통(G46102),1801110985002,"19,103"
(주)디에이에이,J5822,186,콘텐츠·SW×소프트웨어·IT,J5822,L6811,2.0,정보(J5822) ↔ 부동산(L6811),1101115700839,"18,677"
(주)디케이월드,L6812,151,시설·자산운영×부동산·임대,L6812,F41119,2.0,부동산(L6812) ↔ 건설(F41119),2001110612585,"15,147"
덕송내각고속화도로(주),H5291,124,시설·자산운영×부동산·임대,H5291,F4122,2.0,운송(H5291) ↔ 건설(F4122),1101114279596,"12,467"
(주)케이티투자운용,K6420,117,금융×자산운용업,K6420,L68,2.0,금융(K6420) ↔ 부동산(L68),1101114693217,"11,717"
신세계의정부역사(주),L6811,103,시설·자산운영×부동산·임대,L6811,G471,2.0,부동산(L6811) ↔ 유통(G471),1101112670548,"10,373"
프로덕션에이치(주),J5911,103,콘텐츠·SW×미디어·광고·영상,J5911,R901,2.0,정보(J5911) ↔ 서비스(R901),1101116195930,"10,332"
(주)엠티엘컴퍼니,I5622,84,인적서비스×외식·급식,I5622,G46325,2.0,서비스(I5622) ↔ 유통(G46325),1101117982766,"8,425"
천안기업(주),L6811,81,시설·자산운영×부동산·임대,L6811,F411,2.0,부동산(L6811) ↔ 건설(F411),1615110019434,"8,123"
(주)티와이제일호기업구조조정부동산투자회사,L6821,80,인적서비스×부동산·임대,L6821,K64209,2.0,부동산(L6821) ↔ 금융(K64209),1101119004708,"8,007"
마인드노크(주),M7131,72,인적서비스×미디어·광고·영상,M7131,J62010,2.0,서비스(M7131) ↔ 정보(J62010),1101116638873,"7,258"
디에스케이피에프브이(주),L6812,63,시설·자산운영×부동산·임대,L6812,F41112,2.0,부동산(L6812) ↔ 건설(F41112),1101110924679,"6,384"
(주)이매진스,M7390,59,인적서비스×전문서비스,M7390,J63120,2.0,서비스(M7390) ↔ 정보(J63120),1101113042324,"5,992"
금호그린바이오창원(주),G4671,58,도매·상사×에너지·자원·환경,G4671,E38110,2.0,유통(G4671) ↔ 시설(E38110),2013110060987,"5,831"
(주)바이버,G4791,53,소매×다품목·범용>이커머스,G4791,J58,2.0,유통(G4791) ↔ 정보(J58),1101117778074,"5,376"
(주)크리에이션뮤직라이츠,J5920,51,콘텐츠·SW×음악·공연·엔터,J5920,R9129,2.0,정보(J5920) ↔ 서비스(R9129),1101117683760,"5,118"
신촌역사(주),L6811,47,시설·자산운영×부동산·임대,L6811,G471,2.0,부동산(L6811) ↔ 유통(G471),1101111361429,"4,741"
(주)대광에이엠씨,L6812,46,시설·자산운영×부동산·임대,L6812,F4112,2.0,부동산(L6812) ↔ 건설(F4112),1358110222786,"4,634"
(주)체리피시,J5911,34,콘텐츠·SW×미디어·광고·영상,J5911,G47,2.0,정보(J5911) ↔ 유통(G47),1101113653460,"3,445"
(주)이랜드투자자문,K6619,26,금융×결제·핀테크,K6619,M71531,2.0,금융(K6619) ↔ 서비스(M71531),1101117324562,"2,665"
우리병영(주),L6821,25,인적서비스×부동산·임대,L6821,F41,2.0,부동산(L6821) ↔ 건설(F41),1101114227636,"2,582"
루프원에너지(주),D3511,23,시설·자산운영×에너지·자원·환경,D3511,M71531,2.0,시설(D3511) ↔ 서비스(M71531),2062110092010,"2,379"
(주)유진디랩,L6821,22,인적서비스×부동산·임대,L6821,G468,2.0,부동산(L6821) ↔ 유통(G468),1101115723659,"2,253"
나라사랑(주),L6821,22,인적서비스×부동산·임대,L6821,F41,2.0,부동산(L6821) ↔ 건설(F41),2001110292577,"2,285"
부국강병(주),L6821,22,인적서비스×부동산·임대,L6821,F41,2.0,부동산(L6821) ↔ 건설(F41),1101114376558,"2,232"
(주)바우하우스,L6812,18,시설·자산운영×부동산·임대,L6812,F4111,2.0,부동산(L6812) ↔ 건설(F4111),2001110468897,"1,820"
(주)아영,F4122,18,시공·건설×건설·시공,F4122,N74,2.0,건설(F4122) ↔ 서비스(N74),2014110024030,"1,832"
엠더블유앤컴퍼니(주),K6491,17,금융×여신전문금융업,K6491,M71531,2.0,금융(K6491) ↔ 서비스(M71531),1101117939246,"1,741"
커넥트중앙(주),M7153,12,인적서비스×전문서비스,M7153,Q87299,2.0,서비스(M7153) ↔ 서비스(Q87299),1101117713468,"1,241"
(주)아카이브엔터테인먼트,M7390,11,인적서비스×전문서비스,M7390,J59,2.0,서비스(M7390) ↔ 정보(J59),1345110637859,"1,161"
알이100솔라팩토리1호(주),D3511,10,시설·자산운영×에너지·자원·환경,D3511,G4659,2.0,시설(D3511) ↔ 유통(G4659),2054110038334,"1,050"
(주)디케이에셋,L6811,9,시설·자산운영×부동산·임대,L6811,F411,2.0,부동산(L6811) ↔ 건설(F411),2001110331680,957
걸포도시개발자산관리(주),N7599,5,인적서비스×사업지원서비스,N7599,L6812,2.0,서비스(N7599) ↔ 부동산(L6812),1244110267444,540
(주)파라곤개발,F4111,4,시공·건설×건설·시공,F4111,L68121,2.0,건설(F4111) ↔ 부동산(L68121),2001110611587,413
(주)미디어이음,M7390,3,인적서비스×전문서비스,M7390,J59114,2.0,서비스(M7390) ↔ 정보(J59114),1101110930698,305
(주)웅진생활건강,G4649,3,도매·상사×생활용품·가구,G4649,M71531,2.0,유통(G4649) ↔ 서비스(M71531),1101115954105,320
(주)크린누리,L6811,3,시설·자산운영×부동산·임대,L6811,S96911,2.0,부동산(L6811) ↔ 서비스(S96911),2849110161221,315
중흥건설산업(주),L6812,3,시설·자산운영×부동산·임대,L6812,F41112,2.0,부동산(L6812) ↔ 건설(F41112),2059110005846,355
롯데이엠글로벌(주),N7591,2,인적서비스×사업지원서비스,N7591,M71600,2.0,서비스(N7591) ↔ 서비스(M71600),1101117919553,207
(주)디케이하우징,L6811,1,시설·자산운영×부동산·임대,L6811,F41112,2.0,부동산(L6811) ↔ 건설(F41112),2001110637632,110
나매인(주),J6399,1,플랫폼·중개×소프트웨어·IT,J6399,M71310,2.0,정보(J6399) ↔ 서비스(M71310),1101117394862,147
농업회사법인 동구농원(주),N7430,1,인적서비스×사업지원서비스,N7430,A0112,2.0,서비스(N7430) ↔ 자원(A0112),2841110126437,179
영풍개발(주),G4712,1,소매×다품목·범용>종합소매,G4712,L68112,2.0,유통(G4712) ↔ 부동산(L68112),1101110612914,166
(주)나진,L6812,0,시설·자산운영×부동산·임대,L6812,F41111,2.0,부동산(L6812) ↔ 건설(F41111),1101118095964,9
(주)대광건설,L6812,0,시설·자산운영×부동산·임대,L6812,F41112,2.0,부동산(L6812) ↔ 건설(F41112),2001110044704,1
(주)디케이개발,L6811,0,시설·자산운영×부동산·임대,L6811,F4111,2.0,부동산(L6811) ↔ 건설(F4111),1101114246818,28
(주)디케이원,L6812,0,시설·자산운영×부동산·임대,L6812,F41112,2.0,부동산(L6812) ↔ 건설(F41112),2001110566500,7
계룡에스피씨(주),L6811,0,시설·자산운영×부동산·임대,L6811,F411,2.0,부동산(L6811) ↔ 건설(F411),1101111312654,4
솔라디루프(주),D3511,0,시설·자산운영×에너지·자원·환경,D3511,M71531,2.0,시설(D3511) ↔ 서비스(M71531),1311110754779,66
씨앤아이레저산업(주),L6821,0,인적서비스×부동산·임대,L6821,I55101,2.0,부동산(L6821) ↔ 서비스(I55101),1101113477969,47
에이치엘홀딩스(주),M7153,8728,지주·투자×다품목·범용,M7153,K64992,1.9,서비스(M7153) ↔ 금융(K64992)  · 한쪽이 지주코드,1313110030042,"872,823"
(주)지에스이앤알,D35300,5248,시설·자산운영×에너지·자원·환경,K6499,D35300,1.5,금융(K6499) ↔ 시설(D35300)  · 한쪽이 지주코드,1350110121570,"524,804"
두산밥캣(주),C29241,4903,완제품제조×기계·운송기기>건설·농기계,M7151,C29241,1.5,서비스(M7151) ↔ 제조(C29241)  · 한쪽이 지주코드,1101115402237,"490,343"
(주)에코프로,M7151,2532,지주·투자×다품목·범용,M7151,K64992,1.3,서비스(M7151) ↔ 금융(K64992)  · 한쪽이 지주코드,1101111598379,"253,280"
(주)웅진,J6202,1818,인적서비스×소프트웨어·IT,J6202,K64992,1.2,정보(J6202) ↔ 금융(K64992)  · 한쪽이 지주코드,1101110346745,"181,821"
디엘(주),C20111,1745,소재제조×화학·소재>석유화학·기초,K6499,C20111,1.2,금융(K6499) ↔ 제조(C20111)  · 한쪽이 지주코드,1101110084915,"174,580"
디엘에너지(주),M71531,1308,인적서비스×전문서비스,K6499,M71531,1.1,금융(K6499) ↔ 서비스(M71531)  · 한쪽이 지주코드,2844110075258,"130,850"
(주)세아베스틸지주,C2411,883,소재제조×금속>철강,K6499,C2411,1.1,금융(K6499) ↔ 제조(C2411)  · 한쪽이 지주코드,1101110035794,"88,378"
(주)아모레퍼시픽홀딩스,C20423,523,완제품제조×화장품·뷰티,K6499,C20423,1.1,금융(K6499) ↔ 제조(C20423)  · 한쪽이 지주코드,1101110026644,"52,355"
(주)세아홀딩스,C241,506,소재제조×금속,K6499,C241,1.1,금융(K6499) ↔ 제조(C241)  · 한쪽이 지주코드,1101112276809,"50,654"
콜마홀딩스(주),N7599,466,인적서비스×사업지원서비스,N7599,K64992,1.0,서비스(N7599) ↔ 금융(K64992)  · 한쪽이 지주코드,1647110001591,"46,610"
(주)셀트리온홀딩스,N75999,440,인적서비스×사업지원서비스,K6499,N75999,1.0,금융(K6499) ↔ 서비스(N75999)  · 한쪽이 지주코드,1201110551178,"44,070"
중앙홀딩스(주),M7153,319,지주·투자×다품목·범용,M7153,K64992,1.0,서비스(M7153) ↔ 금융(K64992)  · 한쪽이 지주코드,1101118641329,"31,901"
(주)세아스틸인터내셔날,M7153,317,인적서비스×전문서비스,M7153,K64992,1.0,서비스(M7153) ↔ 금융(K64992)  · 한쪽이 지주코드,1101116733392,"31,721"
에스케이씨(주),C204,251,소재제조×화학·소재>정밀·기능화학,K6499,C204,1.0,금융(K6499) ↔ 제조(C204)  · 한쪽이 지주코드,1301110001585,"25,121"
(주)진백글로벌,M7153,174,인적서비스×전문서비스,M7153,K6499,1.0,서비스(M7153) ↔ 금융(K6499)  · 한쪽이 지주코드,1301111199305,"17,415"
엘에스에코에너지(주),M7151,150,지주·투자×다품목·범용,M7151,K64992,1.0,서비스(M7151) ↔ 금융(K64992)  · 한쪽이 지주코드,1341110411706,"15,060"
유진프라이빗에쿼티(주),M71531,62,인적서비스×전문서비스,K6499,M71531,1.0,금융(K6499) ↔ 서비스(M71531)  · 한쪽이 지주코드,1101115654010,"6,261"
케이리얼티8호일반사모부동산투자회사전문,L6811,31,시설·자산운영×부동산·임대,K6499,L6811,1.0,금융(K6499) ↔ 부동산(L6811)  · 한쪽이 지주코드,1101110926937,"3,176"
(주)에이에스씨,M71531,24,인적서비스×전문서비스,K6499,M71531,1.0,금융(K6499) ↔ 서비스(M71531)  · 한쪽이 지주코드,1101111907538,"2,453"
와이즈플래닛(주),C29272,6,완제품제조×기계·운송기기>생산장비,K6499,C29272,1.0,금융(K6499) ↔ 제조(C29272)  · 한쪽이 지주코드,1601110205123,624
엔에이치아문디로지스부동산일반사모투자회사제1호적격,L68,0,시설·자산운영×부동산·임대,K6499,L68,1.0,금융(K6499) ↔ 부동산(L68)  · 한쪽이 지주코드,1101118972724,2
