회사명,종목코드,법인등록번호,KSIC,묶음노드,부문명,주요제품,매출,수익행,상태
(주)지에스피앤엘,499790,1101119120299,K6499,Y,IC호텔,,210520,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,웨스틴호텔,,43632,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,제주호텔,,50098,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,나인트리호텔,,99335,외부고객으로부터의 수익,부문
(주)지에스피앤엘,499790,1101119120299,K6499,Y,파르나스타워,,66793,외부고객으로부터의 수익,부문
(주)코오롱,002020,1101110030528,K6499,Y,지주사업부문,,102582,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,건설사업부문,,2364868,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,유통사업부문,,2628004,세로형,부문
(주)코오롱,002020,1101110030528,K6499,Y,IT사업부문,,548147,세로형,부문
(주)티와이홀딩스,363280,1101117608502,K6499,Y,,,,,부문없음
(주)하림지주,003380,1601110003931,K6499,Y,운송부문,,5546178,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,사료 및 축산부문,,3904756,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,식품 및 식품서비스,,4086744,세로형,부문
(주)하림지주,003380,1601110003931,K6499,Y,유통부문,,680178,세로형,부문
(주)한진칼,180640,1101115197193,K6499,Y,호텔업,"숙박, 음식료, 컨벤션 등",119826,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,데이터베이스및 온라인정보제공업,,35536,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,일반 및 국외 여행사업,관광 및 숙박 관련 용역,52386,순매출액,부문
(주)한진칼,180640,1101115197193,K6499,Y,임대업 등,"비주거용 임대용역, 무형재산권 임대 등",90615,순매출액,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,중장비,,355070,세로형,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,전기통신 및 바이오,,152590,세로형,부문
(주)현대지에프홀딩스,005440,1101110095201,K6499,Y,의류도소매,,1091652,세로형,부문
(주)효성,004800,1101110030497,K649,Y,지주사업,,504776,매출액,부문
(주)효성,004800,1101110030497,K649,Y,정보통신,,1466339,매출액,부문
(주)효성,004800,1101110030497,K649,Y,펌프제조,,230089,매출액,부문
(주)효성,004800,1101110030497,K649,Y,수입차딜러,,225725,매출액,부문
동국홀딩스(주),001230,1101110031338,K649,Y,철강,,375457,외부매출,부문
동국홀딩스(주),001230,1101110031338,K649,Y,운송,,698528,외부매출,부문
동국홀딩스(주),001230,1101110031338,K649,Y,무역,,597900,외부매출,부문
동원산업(주),006040,1101110003098,K6499,Y,수산사업부문,,584391,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,식품 가공유통부문,,6836285,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,물류사업부문,,1451423,매출액,부문
동원산업(주),006040,1101110003098,K6499,Y,포장소재부문,,1433597,매출액,부문
두산밥캣(주),241560,1101115402237,C29241,Y,Compact,,4771049,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,Portable Power,,334489,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,Material Handling,,929074,세로형,부문
두산밥캣(주),241560,1101115402237,C29241,Y,유압기기,"주행모터, 선회모터, 메인펌프, 메인 컨트롤 밸브 등",147194,세로형,부문
디엘(주),000210,1101110084915,C20111,Y,제조,,4961215,I. 매출액,부문
디엘(주),000210,1101110084915,C20111,Y,에너지,,178352,I. 매출액,부문
롯데지주(주),004990,1101110076300,K6499,Y,유통,,4834581,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,식품,,9397229,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,컴퓨터시스템구축,,1169825,부문수익,부문
롯데지주(주),004990,1101110076300,K6499,Y,광고대행,,315835,부문수익,부문
미래에셋벤처투자(주),100790,1101111710527,K649,Y,,,,,단일부문
씨제이(주),001040,1101110015639,K6499,Y,식품 및식품서비스,,17379980,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,생명공학,"핵산, 아미노산, 사료 등",9274068,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,신유통,"하역, 운송, 집하, 배송, 의류, 전자/가구, 이미용품 등",20298926,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,엔터테인먼트및 미디어,,5816764,총매출액,부문
씨제이(주),001040,1101110015639,K6499,Y,시너지 및인프라,,969756,총매출액,부문
에스케이(주),034730,1101110769583,K6499,Y,SK이노베이션,,81014683,매출액 및 기타영업수익,부문
에스케이(주),034730,1101110769583,K6499,Y,SK텔레콤,,17099213,매출액 및 기타영업수익,부문
에스케이(주),034730,1101110769583,K6499,Y,SK스퀘어,,10455553,매출액 및 기타영업수익,부문
에스케이(주),034730,1101110769583,K6499,Y,SK네트웍스,,6745127,매출액 및 기타영업수익,부문
에스케이(주),034730,1101110769583,K6499,Y,SKC,,1840037,매출액 및 기타영업수익,부문
에스케이(주),034730,1101110769583,K6499,Y,SK에코플랜트,,12191569,매출액 및 기타영업수익,부문
에스케이디스커버리(주),006120,1301110005727,K6499,Y,혈액제 사업,,218973,매출액,부문
에스케이디스커버리(주),006120,1301110005727,K6499,Y,가스사업,,9355395,매출액,부문
에스케이디스커버리(주),006120,1301110005727,K6499,Y,Green ChemicalsBiz.,,1551421,매출액,부문
에스케이디스커버리(주),006120,1301110005727,K6499,Y,Life ScienceBiz.,,1139815,매출액,부문
에스케이스퀘어(주),402340,1101118077821,K6499,Y,지주사업,,1574,총 영업수익,부문
에스케이스퀘어(주),402340,1101118077821,K6499,Y,커머스사업,,437623,총 영업수익,부문
에스케이스퀘어(주),402340,1101118077821,K6499,Y,플랫폼사업,,370000,총 영업수익,부문
에스케이스퀘어(주),402340,1101118077821,K6499,Y,모빌리티사업,,554589,총 영업수익,부문
에스케이스퀘어(주),402340,1101118077821,K6499,Y,중단영업,,207417,총 영업수익,부문
에스케이씨(주),011790,1301110001585,C204,Y,화학,,1091179,순매출액,부문
에스케이씨(주),011790,1301110001585,C204,Y,반도체 소재,,220428,순매출액,부문
에스케이씨(주),011790,1301110001585,C204,Y,2차전지 소재,,505997,순매출액,부문
에스케이이노베이션(주),096770,1101113710385,C192,Y,에너지 및 화학,,61314230,순매출액,부문
에스케이이노베이션(주),096770,1101113710385,C192,Y,배터리 및 소재,,7062217,순매출액,부문
에스케이이노베이션(주),096770,1101113710385,C192,Y,E&S,,11863100,순매출액,부문
에이치디씨(주),012630,1101110279433,K649,Y,외주주택,,78865,세로형,부문
에이치디씨(주),012630,1101110279433,K649,Y,일반건축,,21469,세로형,부문
에이치디씨(주),012630,1101110279433,K649,Y,토목,,51555,세로형,부문
에이치디씨(주),012630,1101110279433,K649,Y,자체공사,,798079,세로형,부문
에이치디한국조선해양(주),009540,1812110000386,K6499,Y,조선,,26402934,세로형,부문
에이치디한국조선해양(주),009540,1812110000386,K6499,Y,해양플랜트,,1245050,세로형,부문
에이치디한국조선해양(주),009540,1812110000386,K6499,Y,엔진,,4285845,세로형,부문
에이치디한국조선해양(주),009540,1812110000386,K6499,Y,그린에너지,,650159,세로형,부문
에이치디현대(주),267250,1701110638661,K6499,Y,조선해양,,34182907,세로형,부문
에이치디현대(주),267250,1701110638661,K6499,Y,정유,,45037563,세로형,부문
에이치디현대(주),267250,1701110638661,K6499,Y,전기전자,,5622715,세로형,부문
에이치디현대(주),267250,1701110638661,K6499,Y,건설장비,,11968405,세로형,부문
에이치디현대(주),267250,1701110638661,K6499,Y,선박서비스,,2602695,세로형,부문
에이케이홀딩스(주),006840,1101110029721,K6499,Y,무수프탈산 및 유도품,,1452335,세로형,부문
에이케이홀딩스(주),006840,1101110029721,K6499,Y,항공운송 등,,1579941,세로형,부문
엘에스에코에너지(주),229640,1341110411706,M7151,Y,지주부문,,15060,세로형,부문
오씨아이홀딩스(주),010060,1746110000981,K6499,Y,신재생에너지부문,,437121,매출액,부문
오씨아이홀딩스(주),010060,1746110000981,K6499,Y,에너지솔루션부문,,442654,매출액,부문
오씨아이홀딩스(주),010060,1746110000981,K6499,Y,화학소재부문,,2079006,매출액,부문
오씨아이홀딩스(주),010060,1746110000981,K6499,Y,도시개발사업부문,,451099,매출액,부문
포스코홀딩스(주),005490,1746110000741,C2411,Y,철강,철강제품의 제조와 판매,5615425,외부매출액,부문
포스코홀딩스(주),005490,1746110000741,C2411,Y,인프라,무역,308698,외부매출액,부문
포스코홀딩스(주),005490,1746110000741,C2411,Y,이차전지소재,"리튬, 니켈, 음/양극재 등 EV배터리 소재",2096318,외부매출액,부문
하이트진로홀딩스(주),000140,1101110013766,K6499,Y,지주회사,,,없음(부문명만),부문
하이트진로홀딩스(주),000140,1101110013766,K6499,Y,소주,,,없음(부문명만),부문
하이트진로홀딩스(주),000140,1101110013766,K6499,Y,맥주,,,없음(부문명만),부문
하이트진로홀딩스(주),000140,1101110013766,K6499,Y,생수,,,없음(부문명만),부문
한국앤컴퍼니(주),000240,1101110034233,K6499,Y,,,,,부문없음
한솔홀딩스(주),004150,1101110017867,K6499,Y,일반제지,"펄프 및 종이의 구매, 제조 및 판매",113906,세로형,부문
한솔홀딩스(주),004150,1101110017867,K6499,Y,지류유통 및 IT 서비스,지류유통 및 정보시스템 구축/유지보수,306237,세로형,부문
한솔홀딩스(주),004150,1101110017867,K6499,Y,종합물류서비스,"컨테이너운송사업, 트럭운송사업, 해상 및 항공 포워딩사업, W&D사업,산업별 물류서비스 등",674562,세로형,부문
동양밸류오션기업인수목적(주),122290,1101114245216,K64999,Y,,,,,사업보고서 없음
미래에셋맵스 오퍼튜니티 베트남 주식혼합형 투자회사 1호,094520,1101113569550,K64999,Y,,,,,사업보고서 없음
(주)온미디어,045710,1311110050169,K64992,Y,,,,,사업보고서 없음
(주)대우증권그린코리아기업인수목적회사,121910,1353110013507,K64999,Y,,,,,사업보고서 없음
대신증권그로쓰알파기업인수목적(주),123550,1101114292861,K64999,Y,,,,,사업보고서 없음
에스비아이앤솔로몬드림기업인수목적(주),123910,1101114316273,K64999,Y,,,,,사업보고서 없음
우리금융지주(주),053000,1101112202797,K64992,Y,,,,,사업보고서 없음
거북선1호선박투자회사,092970,2201110057563,K64999,Y,,,,,사업보고서 없음
SK(주),003600,1101110022816,K64992,Y,,,,,사업보고서 없음
이베스트기업인수목적3호(주),225440,1101115769190,K64999,Y,,,,,사업보고서 없음
하림홀딩스,024660,2150110001021,K64992,Y,,,,,사업보고서 없음
일진홀딩스(주),015860,1201110011990,K64992,Y,전선전력,,2044552,세로형,부문
일진홀딩스(주),015860,1201110011990,K64992,Y,공구소재,,162400,세로형,부문
일진홀딩스(주),015860,1201110011990,K64992,Y,부동산임대,,10280,세로형,부문
일진홀딩스(주),015860,1201110011990,K64992,Y,의료기기,,66793,세로형,부문
(주)한국전자홀딩스,006200,1101110101470,K64992,Y,,,,,부문없음
(주)유비쿼스홀딩스,078070,1101112023185,K64992,Y,지 주,,749,순매출액,부문
(주)유비쿼스홀딩스,078070,1101112023185,K64992,Y,네트웍,유선인터넷 데이터 전송장비 판매 및 유지보수 등,116491,순매출액,부문
(주)유비쿼스홀딩스,078070,1101112023185,K64992,Y,금 융,,4030,순매출액,부문
(주)유비쿼스홀딩스,078070,1101112023185,K64992,Y,컴퓨터,컴퓨터 및 주변기기 판매 등,34298,순매출액,부문
(주)유비쿼스홀딩스,078070,1101112023185,K64992,Y,의료기기,의료기기 제조 및 판매 등,94,순매출액,부문
샘표(주),007540,1101110123797,K64992,Y,지주회사부문,,951,순매출액,부문
샘표(주),007540,1101110123797,K64992,Y,식품사업부문,,403664,순매출액,부문
(주)크라운해태홀딩스,005740,1101110093552,K64992,Y,지주부문,,21856,세로형,부문
(주)크라운해태홀딩스,005740,1101110093552,K64992,Y,제과부문,,1119229,세로형,부문
(주)메리츠금융지주,138040,1101114566406,K64992,Y,보험부문,,,없음(부문명만),부문
(주)메리츠금융지주,138040,1101114566406,K64992,Y,증권부문,,,없음(부문명만),부문
(주)메리츠금융지주,138040,1101114566406,K64992,Y,캐피탈부문,,,없음(부문명만),부문
대상홀딩스(주),084690,1101113280099,K64992,Y,지주사업,,38068,매출액,부문
대상홀딩스(주),084690,1101113280099,K64992,Y,식품 및소재산업등,,4972169,매출액,부문
대상홀딩스(주),084690,1101113280099,K64992,Y,정보기술,,92910,매출액,부문
대상홀딩스(주),084690,1101113280099,K64992,Y,건설,,218178,매출액,부문
대상홀딩스(주),084690,1101113280099,K64992,Y,축산물유통,,555304,매출액,부문
대상홀딩스(주),084690,1101113280099,K64992,Y,연결,,5628799,매출액,부문
헝셩그룹유한회사,900270,0000000000000,K64992,Y,,,,,주석 못찾음
CS 홀딩스(주),000590,1101110008486,K64992,Y,지주회사부문,,6,- 외부고객매출액,부문
CS 홀딩스(주),000590,1101110008486,K64992,Y,용접재료부문,,129369,- 외부고객매출액,부문
CS 홀딩스(주),000590,1101110008486,K64992,Y,임대 및 물류사업부문,,5496,- 외부고객매출액,부문
(주)JB금융지주,175330,2101110091498,K64992,Y,캐피탈부문,,203110,리스수익,부문
한국투자금융지주(주),071050,1101112691651,K64992,Y,증권,,17934650,외부고객으로부터의 총수익,부문
한국투자금융지주(주),071050,1101112691651,K64992,Y,운용업,,524152,외부고객으로부터의 총수익,부문
한국투자금융지주(주),071050,1101112691651,K64992,Y,저축은행업,,684258,외부고객으로부터의 총수익,부문
한국투자금융지주(주),071050,1101112691651,K64992,Y,여신전문업,,431726,외부고객으로부터의 총수익,부문
케이프이에스제4호기업인수목적 주식회사,347140,1101117343744,K6499,Y,,,,,사업보고서 없음
(주)우리금융지주,316140,1101116981206,K64992,Y,영업부문항목명,,,없음(부문명만),부문
(주)우리금융지주,316140,1101116981206,K64992,Y,은행,,,없음(부문명만),부문
(주)우리금융지주,316140,1101116981206,K64992,Y,보험,,,없음(부문명만),부문
(주)우리금융지주,316140,1101116981206,K64992,Y,카드,,,없음(부문명만),부문
(주)우리금융지주,316140,1101116981206,K64992,Y,캐피탈,,,없음(부문명만),부문
(주)우리금융지주,316140,1101116981206,K64992,Y,내부조정,,,없음(부문명만),부문
케이씨그린홀딩스(주),009440,1101110155683,K64992,Y,환경엔지니어링사업부문,,349504,영업수익,부문
케이씨그린홀딩스(주),009440,1101110155683,K64992,Y,환경서비스사업부문,,37658,영업수익,부문
케이씨그린홀딩스(주),009440,1101110155683,K64992,Y,자원순환사업부문,,52681,영업수익,부문
케이씨그린홀딩스(주),009440,1101110155683,K64992,Y,오피스환경사업부문,,41466,영업수익,부문
케이씨그린홀딩스(주),009440,1101110155683,K64992,Y,에너지사업부문,,6388,영업수익,부문
(주)BNK금융지주,138930,1801110750893,K64992,Y,국내귀속분,,10052404,세로형,부문
(주)BNK금융지주,138930,1801110750893,K64992,Y,해외귀속분,,98780,세로형,부문
엘비인베스트먼트(주),309960,1101111293531,K64991,Y,,,,,단일부문
(주)영원무역홀딩스,009970,1101110165830,K64992,Y,방글라데시,,1667494,세로형,부문
(주)영원무역홀딩스,009970,1101110165830,K64992,Y,스위스,,1122265,세로형,부문
한국지주 주식회사,009760,1753110001455,K64992,Y,,,,,사업보고서 없음
JW홀딩스(주),096760,1101113710468,K64992,Y,지주사업,그룹내 계열사 관리,40856,세로형,부문
JW홀딩스(주),096760,1101113710468,K64992,Y,의약품,의약품 제조판매,1166568,세로형,부문
JW홀딩스(주),096760,1101113710468,K64992,Y,의료장비,의료장비 제조판매,35993,세로형,부문
생고뱅코리아홀딩스 주식회사,002000,1101110027345,K64992,Y,,,,,사업보고서 없음
(주)비츠로테크,042370,1101110086169,K64992,Y,지주부문,,10567,세로형,부문
(주)비츠로테크,042370,1101110086169,K64992,Y,전지부문,,238833,세로형,부문
(주)비츠로테크,042370,1101110086169,K64992,Y,전력부문,,172765,세로형,부문
(주)비츠로테크,042370,1101110086169,K64992,Y,특수부문,,30376,세로형,부문
주식회사 에프앤에프홀딩스,007700,1101110126783,K64992,Y,,,,,부문없음
(주)아이엠금융지주,139130,1701110429523,K64992,Y,은행부문,,46379,기타영업수익,부문
(주)아이엠금융지주,139130,1701110429523,K64992,Y,증권부문,,41,기타영업수익,부문
(주)아이엠금융지주,139130,1701110429523,K64992,Y,생명보험부문,,2029,기타영업수익,부문
(주)아이엠금융지주,139130,1701110429523,K64992,Y,여신전문부문,,14893,기타영업수익,부문
(주)아이엠금융지주,139130,1701110429523,K64992,Y,연결실체,,89874,기타영업수익,부문
(주)KB금융지주,105560,1101113975517,K64992,Y,은행부문,,11057286,외부고객으로부터의 영업손익,부문
(주)KB금융지주,105560,1101113975517,K64992,Y,증권부문,,2201966,외부고객으로부터의 영업손익,부문
(주)KB금융지주,105560,1101113975517,K64992,Y,손해보험부문,,1244693,외부고객으로부터의 영업손익,부문
(주)KB금융지주,105560,1101113975517,K64992,Y,신용카드부문,,1910627,외부고객으로부터의 영업손익,부문
(주)KB금융지주,105560,1101113975517,K64992,Y,생명보험부문,,342687,외부고객으로부터의 영업손익,부문
(주)에이피에스,054620,1101111315286,K64992,Y,,,,,부문없음
동아쏘시오홀딩스(주),000640,1101110017990,K64992,Y,지주사,지주회사 및 경영컨설팅 서비스업,81234,매출액,부문
동아쏘시오홀딩스(주),000640,1101110017990,K64992,Y,일반의약품 및 의약외품,"의약품과 의약부외품 등의 제조 및 판매업, 서비스업",726283,매출액,부문
동아쏘시오홀딩스(주),000640,1101110017990,K64992,Y,바이오시밀러 및 위탁의약품,바이오시밀러의약품의 계약생산 및 개발,103734,매출액,부문
동아쏘시오홀딩스(주),000640,1101110017990,K64992,Y,물류,"화물, 택배, 자동차운송 알선주선업, 운수창고업 및 임대업",423830,매출액,부문
동아쏘시오홀딩스(주),000640,1101110017990,K64992,Y,포장용기/생수,"유리, 유리제품 제조 및 판매업, 생수, 기타음료 제조 및 판매",160447,매출액,부문
코스맥스비티아이(주),044820,1348110018641,K64992,Y,건강기능식품,,455659,매출액,부문
코스맥스비티아이(주),044820,1348110018641,K64992,Y,제약,,34968,매출액,부문
한미사이언스(주),008930,1348110003187,K64992,Y,지주부문,,55323,외부고객으로부터의 수익,부문
한미사이언스(주),008930,1348110003187,K64992,Y,헬스케어사업부문,,146014,외부고객으로부터의 수익,부문
한미사이언스(주),008930,1348110003187,K64992,Y,의약품도매부문,,1136591,외부고객으로부터의 수익,부문
삼성기업인수목적12호(주),0096B0,1101110933988,K64999,Y,,,,,단일부문
디비금융제11호기업인수목적 주식회사,456440,1101118599833,K64999,Y,,,,,주석 못찾음
(주)SNT홀딩스,036530,1244110002907,K64992,Y,,,,,부문없음
한패스 주식회사,408470,1101116306420,K64999,Y,,,,,단일부문
(주)신한금융지주회사,055550,1101112322438,K64992,Y,은행,,,없음(부문명만),부문
(주)신한금융지주회사,055550,1101112322438,K64992,Y,신용카드,,,없음(부문명만),부문
(주)신한금융지주회사,055550,1101112322438,K64992,Y,증권,,,없음(부문명만),부문
(주)신한금융지주회사,055550,1101112322438,K64992,Y,보험,,,없음(부문명만),부문
(주)신한금융지주회사,055550,1101112322438,K64992,Y,여신전문,,,없음(부문명만),부문
(주)풍산홀딩스,005810,1201110018110,K64992,Y,지주부문,"IT유지보수, 브랜드관리 및 경영자문 등",23569,영업수익,부문
(주)풍산홀딩스,005810,1201110018110,K64992,Y,사업부문,"동 및 동합금, 기타특수금속 제조 등",75643,영업수익,부문
(주)노루홀딩스,000320,1341110002878,K64992,Y,,,,,부문없음
(주)서연,007860,1101110129026,K64992,Y,,,,,부문없음
(주)대덕,008060,1301110007608,K64992,Y,,,,,부문없음
(주)하나금융지주,086790,1101113352004,K64992,Y,은행부문,,10020551,외부고객으로부터의 손익,부문
(주)하나금융지주,086790,1101113352004,K64992,Y,증권부문,,775966,외부고객으로부터의 손익,부문
(주)하나금융지주,086790,1101113352004,K64992,Y,신용카드부문,,881010,외부고객으로부터의 손익,부문
(주)하나금융지주,086790,1101113352004,K64992,Y,캐피탈부문,,1358380,외부고객으로부터의 손익,부문
디와이(주),013570,1942110000472,K64992,Y,지주사,지주회사 및 경영컨설팅 서비스업,64,순매출액,부문
디와이(주),013570,1942110000472,K64992,Y,산업기계,"콘크리트 펌프카, 자동세차기, 카고크레인,골프카 등 일반기계,건설기계,특장차 제조 및 판매업",131436,순매출액,부문
디와이(주),013570,1942110000472,K64992,Y,자동차부품,"자동차용 DC MOTOR, HORN, DOOR LOCK 등 자동차 부품 제조 및 판매업",727757,순매출액,부문
디와이(주),013570,1942110000472,K64992,Y,유압기기,유압실린더 등 유공압기기 및 유공압기계 제조 및 판매업,385581,순매출액,부문
한화머시너리앤서비스홀딩스 주식회사,0220W0,1101110966625,K64992,Y,,,,,사업보고서 없음
삼성전자(주),005930,1301110006246,C2642,,DX 부문,,187967346,매출액,부문
삼성전자(주),005930,1301110006246,C2642,,DS 부문,,130128162,매출액,부문
삼성전자(주),005930,1301110006246,C2642,,SDC,,29841661,매출액,부문
삼성전자(주),005930,1301110006246,C2642,,Harman,,15783325,매출액,부문
에스케이하이닉스(주),000660,1344110001387,C2611,,,,,,단일부문
현대자동차(주),005380,1101110085450,C3012,,차량,,145631818,순매출액,부문
현대자동차(주),005380,1101110085450,C3012,,금융,,30232775,순매출액,부문
기아(주),000270,1101110037998,C3012,,,,,,단일부문
현대모비스(주),012330,1101110215536,C3032,,모듈 및 부품제조사업부문,,47800119,외부고객으로부터의 수익,부문
현대모비스(주),012330,1101110215536,C3032,,A/S용 부품사업부문,,13318008,외부고객으로부터의 수익,부문
에쓰-오일(주),010950,1101110189955,C1921,,정유부문,,27005329,외부매출액,부문
에쓰-오일(주),010950,1101110189955,C1921,,윤활부문,,3007417,외부매출액,부문
에쓰-오일(주),010950,1101110189955,C1921,,석유화학부문,,4234211,외부매출액,부문
삼성생명보험(주),032830,1101110005953,K6511,,국내부문,,4391748,총수익,부문
삼성생명보험(주),032830,1101110005953,K6511,,국외부문,,171163,총수익,부문
엘지전자(주),066570,1101112487050,C2651,,HS,,25737491,외부고객 매출,부문
엘지전자(주),066570,1101112487050,C2651,,MS,,19410512,외부고객 매출,부문
엘지전자(주),066570,1101112487050,C2651,,VS,,11135747,외부고객 매출,부문
엘지전자(주),066570,1101112487050,C2651,,ES,,9303319,외부고객 매출,부문
엘지전자(주),066570,1101112487050,C2651,,이노텍,,21463540,외부고객 매출,부문
(주)포스코인터내셔널,047050,1101112137358,G4680,,철 강,,30955466,매출액,부문
(주)포스코인터내셔널,047050,1101112137358,G4680,,에너지,,3982965,매출액,부문
(주)포스코인터내셔널,047050,1101112137358,G4680,,식량소재,,7656827,매출액,부문
엘지디스플레이(주),034220,1101110393134,C2621,,,,,,부문없음
삼성화재해상보험(주),000810,1101110005078,K6512,,국내사업,,23947419,영업수익,부문
삼성화재해상보험(주),000810,1101110005078,K6512,,해외사업,,674739,영업수익,부문
현대글로비스(주),086280,1101112177388,H5292,,물류부문,,10082590,(가) 매출액,부문
현대글로비스(주),086280,1101112177388,H5292,,유통부문,,14082417,(가) 매출액,부문
현대글로비스(주),086280,1101112177388,H5292,,해운부문,,5401402,(가) 매출액,부문
엘지이노텍(주),011070,1101110192180,C2629,,광학솔루션,Camera Module 등,1720017,Ⅰ. 매출액,부문
