법인등록번호,회사명,고유번호,매출액_백만원,매출근거,종업원수,종업원근거,사업보고서,오류
1101110103707,(주)국영지앤엠,00104537,60198,2025 OFS 매출액,120,2025 4행,Y,
1101116868529,(주)국전,01329957,131039,2025 CFS 매출액,172,2025 4행,Y,
1748110037336,(주)국제개발,00508566,,없음,,없음,N,
1801110169888,(주)국제식품,00811859,,없음,,없음,N,
1201110199829,(주)굿이엠지,00300779,,없음,,없음,N,
1101110385199,(주)귀뚜라미에너지,00100391,,없음,,없음,N,
1101112074055,(주)그라비티네오싸이언,00872425,,없음,,없음,N,
1101111468093,(주)그래디언트,00244561,3061593,2025 CFS 매출액,62,2025 2행,Y,
1101118089157,(주)그로비교육,01740354,,없음,,없음,N,
1101116218477,(주)그로우티,02027199,,없음,,없음,N,
1101110416530,(주)그로웰텔레콤,00259916,,없음,,없음,N,
1311110336238,(주)그리드위즈,01299203,125608,2025 CFS 매출액,107,2025 2행,Y,
1101111773799,(주)그리티,00671978,201717,2025 CFS 매출액,120,2025 6행,Y,
1501110038584,(주)그린광학,00677486,41751,2025 CFS 매출액,280,2025 2행,Y,
1812110015913,(주)극동자동화,01088458,,없음,,없음,N,
1101110600795,(주)글라소울,00272412,,없음,,없음,N,
1341110396049,(주)글랜에어코리아,01890358,,없음,,없음,N,
1313110038864,(주)글로벌스탠다드테크놀로지,00540863,347158,2025 CFS 매출액,757,2025 2행,Y,
1801110655655,(주)글로벌에스제이교역,01447299,,없음,,없음,N,
1101111535272,(주)글로앤웰,00255141,,없음,,없음,N,
1101111569958,(주)글로포스트,00261188,,없음,,없음,N,
1311110048205,(주)금강파워텍,02007308,,없음,,없음,N,
1201110002022,(주)금비,00168401,252403,2025 CFS 매출액,228,2025 2행,Y,
1211110068750,(주)금빛,00455112,,없음,,없음,N,
1801110003101,(주)금양,00106119,102780,2025 CFS 매출액,173,2025 4행,Y,
1115110049291,(주)금오하이텍,00659815,,없음,,없음,N,
2059110000169,(주)금호에이치티,00105606,385404,2025 CFS 매출액,452,2025 2행,Y,
1101110295778,(주)금화피에스시,00176516,423433,2025 CFS 매출액,1170,2025 3행,Y,
1101111867831,(주)기가레인,00377018,40331,2025 CFS 매출액,179,2025 9행,Y,
1101110278980,(주)기도산업,00229085,,없음,,없음,N,
1101113589649,(주)기도스포츠,00601030,,없음,,없음,N,
1101114108266,(주)기련이엔씨,01905526,,없음,,없음,N,
1801110061935,(주)기린,00106508,,없음,,없음,N,
1101111073454,(주)기산텔레콤,00258421,99473,2025 CFS 매출액,60,2025 2행,Y,
1101110384331,(주)기전사,01869747,,없음,,없음,N,
1101113101097,(주)길교이앤씨,00874797,,없음,51,2024 2행,Y,
1101113424928,(주)김가네,00610384,,없음,,없음,N,
1101110243793,(주)까뮤이앤씨,00129420,297453,2025 CFS 매출액,159,2025 6행,Y,
1101115248376,(주)나노,00994994,85676,2025 CFS 매출액,139,2025 2행,Y,
2101110054248,(주)나노솔루션,01924673,,없음,63,2025 2행,Y,
1601110094162,(주)나노신소재,00439965,111745,2025 CFS 매출액,350,2025 2행,Y,
1358110139600,(주)나노실리칸첨단소재,01136001,5976,2025 CFS 매출액,41,2025 4행,Y,
1101110550502,(주)나노엔텍,00230425,38130,2025 CFS 매출액,141,2025 2행,Y,
1341110002472,(주)나노트로닉스,00268437,,없음,,없음,N,
1301110018382,(주)나노하이텍,00252375,,없음,,없음,N,
1601110251316,(주)나노헬릭스,01534452,,없음,,없음,N,
2001110214745,(주)나눔테크,01117422,,없음,66,2025 8행,Y,
1101112669369,(주)나라소프트,01267550,,없음,3,2024 2행,Y,
1101115682201,(주)나라스페이스테크놀로지,01787355,13236,2025 OFS 매출액,80,2025 2행,Y,
2149110003948,(주)나리지*온,00208693,,없음,,없음,N,
1311110126192,(주)나무가,00819374,459879,2025 CFS 매출액,129,2025 2행,Y,
1501110247929,(주)나비메디컬센타,01960046,,없음,,없음,N,
1201110845638,(주)나우로보틱스,01594791,12526,2025 OFS 매출액,68,2025 2행,Y,
1211110074525,(주)나우코스,00425254,69544,2025 CFS 매출액,213,2025 2행,Y,
1101112940933,(주)나이벡,00767628,32718,2025 OFS 매출액,93,2025 2행,Y,
1101112629347,(주)나이스디앤비,00606293,91363,2025 CFS 매출액,288,2025 2행,Y,
1712110063972,(주)나이코,00967778,,없음,,없음,N,
2801110078161,(주)나인앤컴퍼니,01307335,45044,2025 CFS 매출액,102,2025 2행,Y,
1101116353116,(주)나인테크,01208849,82368,2025 CFS 매출액,126,2025 2행,Y,
1101114013340,(주)나자인,00697170,,없음,,없음,N,
1648110008777,(주)남방 에프.씨,01731301,,없음,,없음,N,
1615110002174,(주)남산물산,00188122,,없음,,없음,N,
1801110882654,(주)남상푸드,01081613,,없음,,없음,N,
1101110054760,(주)남성,00172185,77541,2025 CFS 매출액,60,2025 4행,Y,
1101110206569,(주)남성 에이엠디,00107330,,없음,,없음,N,
1801110006569,(주)남양,00107446,,없음,,없음,N,
1101110347230,(주)남영전구,00168492,,없음,,없음,N,
1101110951338,(주)내일신문,00368515,,없음,,없음,N,
1101112246414,(주)내츄럴엔도텍,00923792,22226,2025 CFS 매출액,83,2025 2행,Y,
1341110049581,(주)네오리소스,00370547,,없음,,없음,N,
1101113623463,(주)네오리진,00599106,31047,2025 CFS 매출액,15,2025 2행,Y,
1341110071742,(주)네오뷰,02038566,,없음,,없음,N,
1101116168614,(주)네오셈,01170865,63936,2025 CFS 매출액,140,2025 6행,Y,
1101114255801,(주)네오오토,00876865,232116,2025 OFS 매출액,186,2025 4행,Y,
1101113929663,(주)네오위드넷,01177178,,없음,,없음,N,
1101113667552,(주)네오위즈,00628860,432726,2025 CFS 매출액,899,2025 2행,Y,
1101111419517,(주)네오위즈홀딩스,00266952,436800,2025 CFS 매출액,7,2025 2행,Y,
1101116505577,(주)네오임플란트,01287518,,없음,,없음,N,
1101113594763,(주)네오크레마,01219155,81943,2025 CFS 매출액,70,2025 2행,Y,
1346110015095,(주)네오티스,00447928,68676,2025 CFS 매출액,231,2025 2행,Y,
1601110100688,(주)네오팜,00551920,132184,2025 CFS 매출액,192,2025 2행,Y,
1101110072572,(주)네오퍼플,00121251,,없음,,없음,N,
1101111625916,(주)네오플램,00762207,,없음,,없음,N,
1101112707367,(주)네이블,00842585,19189,2025 OFS 매출액,108,2025 2행,Y,
1243110005721,(주)네이처셀,00117276,20734,2025 CFS 매출액,83,2025 4행,Y,
1101111965875,(주)네이쳐글로벌,00540304,,없음,,없음,N,
1545110002355,(주)네패스,00227333,521439,2025 CFS 매출액,1200,2025 2행,Y,
1101117417458,(주)넥사다이내믹스,01440153,13012,2025 CFS 매출액,48,2025 3행,Y,
1846110000583,(주)넥센,00167192,3586518,2025 CFS 매출액,756,2025 4행,Y,
1101113720673,(주)넥솔론,00636045,,없음,,없음,N,
1101114508151,(주)넥스쳐,00977696,,없음,37,2025 2행,Y,
1345110042264,(주)넥스턴앤롤코리아,00416414,70440,2025 CFS 매출액,83,2025 4행,Y,
1101111059024,(주)넥스텔,00265254,,없음,,없음,N,
1201110720228,(주)넥스트바이오메디컬,01385050,16476,2025 OFS 매출액,81,2025 10행,Y,
1348110037954,(주)넥스트아이,00614593,120063,2025 CFS 매출액,27,2025 2행,Y,
1101113922550,(주)넥스트엔터테인먼트월드,00974927,142653,2025 CFS 매출액,36,2025 2행,Y,
1101117947900,(주)넥스트젠엠앤씨,01911101,,없음,,없음,N,
1311110541069,(주)넥스트칩,01515864,39653,2025 OFS 매출액,214,2025 2행,Y,
1101115501302,(주)넥써쓰,01042429,36722,2025 CFS 매출액,118,2025 2행,Y,
1717110037555,(주)넷스루,01907515,,없음,,없음,N,
1101112307539,(주)노랑풍선,00632845,119704,2025 CFS 매출액,454,2025 2행,Y,
1350110031406,(주)노루케미칼,00208277,,없음,,없음,N,
1341110142575,(주)노루페인트,00583442,771052,2025 CFS 매출액,780,2025 2행,Y,
1101117042247,(주)노머스,01703849,75725,2025 CFS 매출액,84,2025 6행,Y,
1501110120399,(주)노바렉스,00811372,404259,2025 CFS 매출액,505,2025 2행,Y,
1351110083661,(주)노바텍,01259232,55589,2025 CFS 매출액,42,2025 2행,Y,
1101114296029,(주)노보믹스,01332137,,없음,16,2024 2행,Y,
1101111065972,(주)노브랜드,00305941,602167,2025 CFS 매출액,258,2025 2행,Y,
1101114465111,(주)노브메타파마,01065785,,없음,21,2025 4행,Y,
1101111905706,(주)노블엠앤비,00536329,3817,2025 CFS 매출액,27,2025 2행,Y,
1101110109854,(주)녹십자,00129679,1991279,2025 CFS 매출액,2351,2025 2행,Y,
1101110889985,(주)녹십자셀,00198378,,없음,,없음,N,
1345110076627,(주)녹십자엠에스,00513948,108413,2025 CFS 매출액,131,2025 2행,Y,
1345110083218,(주)녹십자웰빙,01135057,164680,2025 CFS 매출액,330,2025 2행,Y,
1101111015779,(주)누리플랜,00410997,117635,2025 CFS 매출액,51,2025 2행,Y,
1101111029671,(주)누리플렉스,00269889,101571,2025 CFS 매출액,99,2025 8행,Y,
1101117182655,(주)누보,01394669,104182,2025 CFS 매출액,161,2025 2행,Y,
1412110004279,(주)뉴보텍,00351375,43479,2025 OFS 매출액,112,2025 6행,Y,
1101110233439,(주)뉴아세아,00138695,,없음,51,2025 2행,Y,
2811110080389,(주)뉴엔에이아이,01639508,18819,2025 OFS 매출액,208,2025 6행,Y,
1101114305614,(주)뉴온,00809429,48163,2025 CFS 매출액,131,2025 4행,Y,
1243110003006,(주)뉴인텍,00105040,82799,2025 CFS 매출액,289,2025 12행,Y,
1101110973077,(주)뉴젠비아이티,00362380,,없음,,없음,N,
1101110364408,(주)뉴젠아이씨티,00350118,,없음,,없음,N,
1101112214429,(주)뉴트리,01214248,101087,2025 CFS 매출액,86,2025 2행,Y,
1101111784952,(주)뉴파워프라즈마,00521390,577990,2025 CFS 매출액,373,2025 2행,Y,
1350110103601,(주)뉴프렉스,00493510,154135,2025 CFS 매출액,142,2025 4행,Y,
1345110411873,(주)느헤미야,01943401,,없음,,없음,N,
1101116046985,(주)다나음,01307706,,없음,,없음,N,
1101111435810,(주)다날,00389970,225377,2025 CFS 매출액,273,2025 2행,Y,
1943110004967,(주)다린,00410678,,없음,,없음,N,
1101110924765,(주)다산네트웍스,00268251,541777,2025 CFS 매출액,182,2025 2행,Y,
1101111574709,(주)다산디엠씨,01084364,113733,2025 CFS 매출액,277,2025 4행,Y,
1351110065750,(주)다산솔루에타,00624518,31399,2025 OFS 매출액,108,2025 2행,Y,
1101113801530,(주)다산자기관리부동산투자회사,00686970,,없음,,없음,N,
2201110112846,(주)다온씨앤에이,01458383,,없음,,없음,N,
1101114224020,(주)다원넥스뷰,01344363,26936,2025 OFS 매출액,70,2025 2행,Y,
1350110049607,(주)다원시스,00523307,112089,2025 CFS 매출액,475,2025 6행,Y,
2001110097272,(주)다이나믹디자인,00453488,80189,2025 CFS 매출액,370,2025 2행,Y,
1101114362531,(주)다이나믹솔루션,01246034,16052,2025 CFS 매출액,51,2025 5행,Y,
1101114141604,(주)다이오진,01163050,,없음,,없음,N,
2001110724835,(주)다채움,02014362,,없음,,없음,N,
1101110153033,(주)다함이텍,00130046,,없음,5,2025 2행,Y,
1159110011511,(주)다휘,00353735,,없음,,없음,N,
1101112427121,(주)단군소프트,00939216,,없음,,없음,N,
1311110445807,(주)단비교육,01385281,,없음,,없음,N,
1101115995993,(주)달바글로벌,01649204,519735,2025 CFS 매출액,203,2025 2행,Y,
1101115931319,(주)닷밀,01605282,33841,2025 OFS 매출액,110,2025 8행,Y,
1355110234894,(주)대건엔지니어링,01911129,,없음,,없음,N,
1101110514029,(주)대교,00108913,650004,2025 CFS 매출액,2359,2025 2행,Y,
1701110003814,(주)대구백화점,00108977,47247,2025 OFS 매출액,127,2025 2행,Y,
1701110234386,(주)대구시민프로축구단,00427137,,없음,,없음,N,
1101111305964,(주)대국,00264848,,없음,,없음,N,
1501110304844,(주)대덕기업,01924859,,없음,,없음,N,
1911110000104,(주)대동,00109286,1484722,2025 CFS 매출액,1106,2025 2행,Y,
1101110150691,(주)대동스틸,00109268,119163,2025 OFS 매출액,38,2025 2행,Y,
1101110073877,(주)대륙제관,00109587,266562,2025 OFS 매출액,427,2025 2행,Y,
2301110316488,(주)대륜이엔지,01908736,,없음,,없음,N,
1101110362064,(주)대륭,00109620,,없음,,없음,N,
1313110213763,(주)대림세라텍,01887062,,없음,,없음,N,
1348110003020,(주)대림제지,00109781,168837,2025 CFS 매출액,193,2025 2행,Y,
1801110060565,(주)대명,00194488,,없음,,없음,N,
1101112398752,(주)대명오앤씨,01150083,,없음,,없음,N,
1746110004876,(주)대백쇼핑,00110079,,없음,,없음,N,
1701110004044,(주)대백저축은행,00110060,,없음,14,2025 2행,Y,
1801110194158,(주)대봉기연,00887108,,없음,,없음,N,
1101111194739,(주)대산에프앤비,00390860,110864,2025 CFS 매출액,47,2025 4행,Y,
1601110707559,(주)대산홀딩스컴퍼니,01893674,,없음,,없음,N,
1341110000880,(주)대성미생물연구소,00177320,25988,2025 OFS 매출액,138,2025 2행,Y,
1701110205600,(주)대성하이텍,00577335,95216,2025 CFS 매출액,286,2025 2행,Y,
1314110488348,(주)대신금형,02021034,,없음,,없음,N,
1101110892136,(주)대양글로벌,00269773,,없음,,없음,N,
1201110002212,(주)대양금속,00111111,223485,2025 CFS 매출액,235,2025 2행,Y,
1801110164507,(주)대양산업개발,00493255,,없음,,없음,N,
1701110064254,(주)대영모스,01730320,,없음,,없음,N,
1101110279178,(주)대영엔지니어링,00526410,,없음,,없음,N,
1311110000271,(주)대웅,00111810,2068370,2025 CFS 매출액,413,2025 2행,Y,
1348110075342,(주)대웅제약,00427483,1570891,2025 CFS 매출액,1794,2025 2행,Y,
1501110003058,(주)대원,00111838,112122,2025 CFS 매출액,135,2025 7행,Y,
1101116217354,(주)대원물산,01247264,,없음,,없음,N,
1748110000309,(주)대유,00384948,33680,2025 OFS 매출액,176,2025 2행,Y,
1348110020909,(주)대주,00522399,,없음,,없음,N,
2844110077642,(주)대진이엔지,02027685,,없음,,없음,N,
1101117029013,(주)대진주택건설,01633160,,없음,,없음,N,
1301110007137,(주)대창,00112651,1470237,2025 CFS 매출액,335,2025 2행,Y,
1801110028042,(주)대창솔루션,00177870,59877,2025 CFS 매출액,125,2025 2행,Y,
1101110276116,(주)대창스틸,00112721,398574,2025 CFS 매출액,97,2025 6행,Y,
1101110948997,(주)대한과학,00608316,81117,2025 CFS 매출액,120,2025 2행,Y,
1101110219728,(주)대한실업상사,02004976,,없음,,없음,N,
1345110000973,(주)대한은박지,00113173,,없음,,없음,N,
1101117369013,(주)대한제29호파주금촌위탁관리부동산투자회사,01898411,,없음,,없음,N,
1101119140776,(주)대한제38호동두천송내위탁관리부동산투자회사,02000679,,없음,,없음,N,
1101110319320,(주)대현,00113614,240544,2025 OFS 매출액,387,2025 2행,Y,
1101110006670,(주)대호,00113696,,없음,,없음,N,
1701110233338,(주)대호에이엘,00428729,215642,2025 CFS 매출액,179,2025 2행,Y,
1845110003856,(주)대호특수강,00166175,277424,2025 CFS 매출액,258,2025 4행,Y,
1741110008836,(주)더 체인지,00359094,,없음,,없음,N,
1101110527767,(주)더 테크놀로지,00351454,12576,2025 CFS 매출액,28,2025 4행,Y,
1348110568107,(주)더그랜드,01579215,,없음,,없음,N,
1101112958259,(주)더네이쳐홀딩스,01214743,477521,2025 CFS 매출액,399,2025 2행,Y,
1311110122869,(주)더맛있는하루,01894026,,없음,,없음,N,
1101114855924,(주)더블유게임즈,01010110,719897,2025 CFS 매출액,383,2025 2행,Y,
1101113215294,(주)더블유쇼핑,01220090,,없음,,없음,N,
1101116748507,(주)더블유에스아이,01318261,51706,2025 CFS 매출액,29,2025 2행,Y,
1101110704896,(주)더스텔라,00307037,,없음,0,2025 1행,Y,
1101111219298,(주)더존디지털웨어,00295875,,없음,,없음,N,
1201110005266,(주)더존비즈온,00172291,446299,2025 CFS 매출액,1818,2025 2행,Y,
1101116577188,(주)더즌,01563667,59971,2025 CFS 매출액,149,2025 8행,Y,
1615110031686,(주)더코디,00530413,25266,2025 CFS 매출액,33,2025 6행,Y,
1101115017614,(주)더콘텐츠온,00991225,,없음,13,2025 2행,Y,
1101119159355,(주)더퓨어랩,01930115,,없음,,없음,N,
1101110596564,(주)덕산,00922100,,없음,,없음,N,
2301110120607,(주)덕산테코피아,01021666,112078,2025 CFS 매출액,328,2025 6행,Y,
1341110000096,(주)덕성,00114093,146476,2025 CFS 매출액,152,2025 2행,Y,
1101110730732,(주)덕신이피씨,00454937,106458,2025 CFS 매출액,123,2025 2행,Y,
2062110077244,(주)덕양에너젠,01516933,143195,2025 CFS 매출액,55,2025 10행,Y,
1348110004961,(주)데스코,00119229,,없음,,없음,N,
1101116377877,(주)데이원컴퍼니,01455492,123860,2025 CFS 매출액,501,2025 2행,Y,
1101114504901,(주)데이타솔루션,00877819,103815,2025 OFS 매출액,250,2025 2행,Y,
1101112331918,(주)데이터스트림즈,00553025,,없음,192,2025 2행,Y,
1101110242985,(주)데코,00114321,,없음,,없음,N,
2850110209804,(주)덱스터스튜디오,01021949,55416,2025 CFS 매출액,283,2025 6행,Y,
1351110052892,(주)덴티움,00526599,346451,2025 CFS 매출액,876,2025 2행,Y,
1101110507082,(주)델타전자,02002358,,없음,,없음,N,
1501110134952,(주)도우인시스,01380578,139791,2025 CFS 매출액,393,2025 8행,Y,
1211110061647,(주)도움,00450728,,없음,,없음,N,
1101110037740,(주)도화엔지니어링,00114552,698474,2025 CFS 매출액,2912,2025 6행,Y,
1101112062464,(주)돈키훼밀리,00767974,,없음,,없음,N,
1348110070011,(주)동강홀딩스,00552008,,없음,,없음,N,
1101117321013,(주)동건프라퍼티,02026978,,없음,,없음,N,
1101111161465,(주)동곡기정,01921409,,없음,,없음,N,
1101110352156,(주)동구바이오제약,00114686,242687,2025 CFS 매출액,440,2025 2행,Y,
1955110069249,(주)동국알앤에스,00472890,110734,2025 CFS 매출액,139,2025 2행,Y,
1101112276784,(주)동국에스엔씨,00415594,119684,2025 CFS 매출액,75,2025 2행,Y,
1801110693514,(주)동남리싸이클링,01909638,,없음,,없음,N,
1101110057012,(주)동남합성,00115065,194264,2025 OFS 매출액,192,2025 2행,Y,
1701110032110,(주)동대구화물터미널,00659842,,없음,,없음,N,
1101110124521,(주)동방,00115287,915552,2025 CFS 매출액,834,2025 4행,Y,
1101110553192,(주)동방라이텍,00203458,,없음,,없음,N,
1645110024117,(주)동방메디컬,01073261,113536,2025 CFS 매출액,305,2025 2행,Y,
1941110002884,(주)동방선기,00526678,41878,2025 OFS 매출액,90,2025 2행,Y,
1101110124969,(주)동방아그로,00115384,178997,2025 CFS 매출액,241,2025 2행,Y,
1101110180888,(주)동서,00144395,532878,2025 CFS 매출액,275,2025 2행,Y,
1401110006202,(주)동서엔지니어링,01645563,,없음,,없음,N,
1101111259525,(주)동서정보기술,00358545,,없음,,없음,,
1101116646280,(주)동성디엔씨,01909647,,없음,,없음,N,
1801110633031,(주)동성케미컬,00679314,1211599,2025 CFS 매출액,616,2025 2행,Y,
1101110237928,(주)동성하이켐,00165529,,없음,,없음,N,
1101110404361,(주)동성화인텍,00231105,742186,2025 CFS 매출액,627,2025 4행,Y,
1801110007690,(주)동성화학,00116356,,없음,,없음,N,
1756110015244,(주)동신레미콘,02026552,,없음,,없음,N,
1345110016285,(주)동심,00626428,,없음,,없음,N,
1101112366618,(주)동아닷컴,00446965,,없음,,없음,N,
1341110065470,(주)동아엘텍,00489243,582437,2025 CFS 매출액,169,2025 2행,Y,
