지배법인,지배법인등록번호,대상,대상법인등록번호,지분율,장부가액,대상계층,대상소속그룹,대상A세분류,대상B1주업종,대상매출,대상묶음,연도
(주)NICE홀딩스,1101110505614,나이스인베스트먼트 주식회사,1648110061618,62.9,28595255000,T1u,,인적서비스,전문서비스,,,2025
(주)NICE홀딩스,1101110505614,나이스평가정보 주식회사,1101110393283,43.4,64786212000,T1,,플랫폼·중개,소프트웨어·IT,602147,,2025
(주)NICE홀딩스,1101110505614,나이스정보통신(주),1101110574453,42.7,10571525000,T1,,시설·자산운영,통신·네트워크,1094683,,2025
(주)NICE홀딩스,1101110505614,(주)나이스디앤비,1101112629347,35.0,4066590000,T1,,인적서비스,사업지원서비스,91363,,2025
(주)NICE홀딩스,1101110505614,(주)아이티엠반도체,1311110046639,32.3,59075572000,T1,,부품제조,전자·정밀,603110,,2025
(주)NI스틸,1101110137491,(주)포항에스알디씨,1717110091577,49.0,3256855000,T2,,소재제조,금속,"7,413",,2025
(주)SG세계물산,1101110048002,주식회사 단톡,1648110029351,30.15,74889000000,T1u,,시설·자산운영,레저·숙박·스포츠,,,2025
(주)SIMPAC,1201110002189,(주)심팩인더스트리,1201110012451,100.0,51326000000,모수밖,,완제품제조,기계·운송기기,,,2025
(주)SIMPAC,1201110002189,(주) SIMPAC KDA,1955110081607,100.0,95196000000,T1u,,부품제조,기계·운송기기,,,2025
(주)SNT홀딩스,1244110002907,SNT에너지(주),1942110090598,54.36,45369000000,T1,,완제품제조,기계·운송기기,606119,,2025
(주)SNT홀딩스,1244110002907,SNT모티브(주),1801110396069,45.12,156506000000,T1,,부품제조,기계·운송기기,1006373,,2025
(주)SNT홀딩스,1244110002907,SNT다이내믹스(주),1101110042880,42.27,199891000000,T1,,부품제조,기계·운송기기,712021,,2025
(주)STX,1942110000183,STX리조트주식회사,1101113794644,100.0,27911000000,T1u,,시설·자산운영,레저·숙박·스포츠,,,2025
(주)STX,1942110000183,피케이밸브앤엔지니어링(주),1942110000076,41.71,47375000000,T1u,,완제품제조,기계·운송기기,101585,,2025
(주)STX 그린 로지스,1801111522465,주식회사 에스티엑스해운,1101118923280,81.63,6790700000,T1u,,금융,자산운용업,,,2025
(주)가비아,1101111777585,(주)후이즈,1101117640835,100.0,20150000000,T1u,,콘텐츠·SW,소프트웨어·IT,,,2025
(주)가비아,1101111777585,주식회사 가비아씨엔에스,1101113820499,47.7,2200000000,T1u,,콘텐츠·SW,소프트웨어·IT,,,2025
(주)가비아,1101111777585,(주)케이아이엔엑스,1101111999593,36.3,10184000000,T1,,시설·자산운영,통신·네트워크,159244,,2025
(주)가비아,1101111777585,(주)엑스게이트,1101114495598,32.9,5297000000,T1,,콘텐츠·SW,소프트웨어·IT,48135,,2025
(주)강원랜드,1449110001666,(주)키즈라라,2052110032778,30.54,6463000000,T1u,,시설·자산운영,레저·숙박·스포츠,,,2025
(주)경농,1101110089395,(주)조비,1101110086599,55.0,33305000000,T1,,완제품제조,화학·소재,99737,,2025
(주)경동도시가스,2301110274751,주식회사 케이디에코허브,2301110374353,60.0,5000000000,T1u,,시설·자산운영,기계·운송기기,,,2025
(주)경동인베스트,1812110000906,경동건설(주),1801110019728,71.07,1469000000,T1u,,시공·건설,건설·시공,,,2025
(주)경동인베스트,1812110000906,(주)경동도시가스,2301110274751,37.04,65348000000,T1,,시설·자산운영,에너지·자원·환경,1759465,,2025
(주)경인양행,1201110005703,주식회사제이엠씨,1348110764094,79.25,45322000000,T1u,,인적서비스,전문서비스,,,2025
(주)골프존,1601110393069,(주)골프존클라우드,1101112911992,100.0,9333000000,T1,,완제품제조,전자·정밀,,,2025
(주)골프존홀딩스,1601110097976,(주) 골프존커머스,1101115657056,97.09,100658000000,T1u,,소매,다품목·범용,,,2025
(주)광명전기,1301110006270,주식회사 한강듀클래스,1701110922072,33.33,,T1u,,시설·자산운영,부동산·임대,,,2025
(주)국보디자인,1101110564066,주식회사 페어,1101118922406,100.0,100000000,T1u,,인적서비스,전문서비스,,,2025
(주)글로벌스탠다드테크놀로지,1313110038864,주식회사이에스티,1760110105393,93.0,6582000000,T1u,,부품제조,전자·정밀,,,2025
(주)금비,1201110002022,삼화왕관(주),1341110003462,53.43,64647000000,T1,,부품제조,금속,162897,,2025
(주)금화피에스시,1101110295778,정읍그린파워 주식회사,2112110020353,44.86,9600000000,T1u,,시설·자산운영,에너지·자원·환경,,,2025
(주)금화피에스시,1101110295778,(주)엔에스컴퍼니,1101111089401,31.14,2353318000,T1,,시공·건설,건설·시공,,,2025
(주)나인테크,1101116353116,(주) 탈로스,2811110093358,41.98,10976389000,T1,,부품제조,전자·정밀,,,2025
(주)남성,1101110054760,(주)남성 에이엠디,1101110206569,100.0,53615000000,T1u,,부품제조,전자·정밀,,,2025
(주)네오위즈,1101113667552,주식회사 파우게임즈,1101116915792,51.3,19600000000,T1u,,콘텐츠·SW,게임,,,2025
(주)네오위즈홀딩스,1101111419517,(주)네오위즈,1101113667552,31.0,116076000000,T1,,콘텐츠·SW,게임,432726,,2025
(주)네오크레마,1101113594763,청담인베스트먼트 주식회사,1101117853636,60.44,6700000000,T1u,,금융,여신전문금융업,,,2025
(주)네오크레마,1101113594763,비비씨 주식회사,1601110243678,30.88,38208000000,T1,,소재제조,화학·소재,51648,,2025
(주)네패스,1545110002355,주식회사 네패스 라웨,1501110282058,100.0,,T1u,,부품제조,전자·정밀,,,2025
(주)네패스,1545110002355,주식회사 네패스아크,1501110267365,37.23,32371000000,T1,,부품제조,전자·정밀,114089,,2025
(주)넥스턴앤롤코리아,1345110042264,미래산업(주),1243110030413,32.31,29395591000,T1,,완제품제조,전자·정밀,50777,,2025
(주)넥스트엔터테인먼트월드,1101113922550,주식회사 뉴포인트,1101117093753,47.04,,T1u,,콘텐츠·SW,미디어·광고·영상,,,2025
(주)넥슨게임즈,1101115781277,(주)중앙판교개발,1101111269954,99.9,29918000000,T2,,시설·자산운영,부동산·임대,"5,036",,2025
(주)넵튠,1101115671171,트리플라(주),1101117889988,100.0,22120,T2,,콘텐츠·SW,게임,"52,201",,2025
(주)넵튠,1101115671171,(주)님블뉴런,1311110338755,74.89,,T2,,콘텐츠·SW,게임,"26,022",,2025
(주)넵튠,1101115671171,프리티비지(주),2850110467915,58.3,1824,T2,,콘텐츠·SW,게임,"3,833",,2025
(주)넵튠,1101115671171,(주)플레이하드,1101116075869,52.2,9132,T2,,콘텐츠·SW,게임,"1,711",,2025
(주)넵튠,1101115671171,(주)팬텀,1101117229374,51.4,12843,T2,,콘텐츠·SW,게임,"4,951",,2025
(주)넵튠,1101115671171,(주)엔크로키,1101117259610,50.1,,T2,,콘텐츠·SW,게임,"1,510",,2025
(주)넵튠,1101115671171,(주)이케이게임즈,1311110367209,50.1,4442,T2,,콘텐츠·SW,게임,"2,179",,2025
(주)넵튠,1101115671171,(주)라우드코퍼레이션,1101115366970,30.6,,T1u,,콘텐츠·SW,미디어·광고·영상,,,2025
(주)노루홀딩스,1341110002878,(주)노루케미칼,1350110031406,100.0,33550000000,T1u,,소재제조,화학·소재,,,2025
(주)노루홀딩스,1341110002878,주식회사 노루로지넷,1341110033899,100.0,14054000000,T1u,,운송·보관,창고·물류,,,2025
(주)노루홀딩스,1341110002878,(주)노루페인트,1341110142575,50.5,77036000000,T1,,소재제조,화학·소재,771052,,2025
(주)노바텍,1351110083661,주식회사 노바랩스,1341110365888,50.8,,T1u,,부품제조,금속,,,2025
(주)노브랜드,1101111065972,(주)유니코글로벌아이앤씨,1101113205592,100.0,26426000000,T1u,,완제품제조,의류·패션,,,2025
(주)녹십자,1101110109854,(주)녹십자엠에스,1345110076627,40.3,28384000000,T1,,완제품제조,의약·바이오,108413,,2025
(주)녹십자,1101110109854,(주)지씨셀,1345110172532,33.3,114878000000,T1,,인적서비스,전문서비스,165523,,2025
(주)녹십자홀딩스,1345110000014,(주)녹십자,1101110109854,50.1,296327000000,T1,,소재제조,의약·바이오,1991279,,2025
(주)녹십자홀딩스,1345110000014,주식회사 진스랩,1244110093089,48.0,18522000000,T1u,,소재제조,의약·바이오,33404,,2025
(주)농심,1101110057574,(주)허심청브로이,1801111483055,100.0,300000000,T2,,완제품제조,주류·담배,462,,2025
(주)농심,1101110057574,농심이스포츠(주),1101117076022,95.0,11778000000,T2,,인적서비스,레저·숙박·스포츠,"7,822",,2025
(주)농심,1101110057574,아지노모도농심푸즈 주식회사,1313110195010,49.0,1511000000,T1u,,완제품제조,식품·음료,,,2025
(주)농심홀딩스,1101112819005,농심태경(주),1341110005814,100.0,60935000000,T2,,완제품제조,식품·음료,"540,436",,2025
(주)농심홀딩스,1101112819005,(주)세우,1341110000632,100.0,100288000000,T2,,완제품제조,식품·음료,"138,646",,2025
(주)농심홀딩스,1101112819005,농심엔지니어링(주),1101111444069,100.0,4615000000,T2,,인적서비스,전문서비스,"157,042",,2025
(주)농심홀딩스,1101112819005,농심개발(주),1154110002700,100.0,36169000000,T2,,시설·자산운영,레저·숙박·스포츠,"22,303",,2025
(주)농심홀딩스,1101112819005,(주)농심,1101110057574,32.72,376704000000,T2,,완제품제조,식품·음료,"2,734,714",,2025
(주)농심홀딩스,1101112819005,율촌화학(주),1101110145147,31.94,71013000000,T2,,완제품제조,화학·소재,"465,717",,2025
(주)뉴파워프라즈마,1101111784952,주식회사 에이씨엔,1101114019314,94.0,8945000000,T1u,,완제품제조,기계·운송기기,,,2025
(주)뉴파워프라즈마,1101111784952,주식회사 엔피엠,1244110047002,54.0,,T1u,,완제품제조,기계·운송기기,,,2025
(주)다날,1101111435810,퍼시픽금토피에프브이19주식회사,1345110686880,39.83,3679406000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)다산네트웍스,1101110924765,주식회사 스타콜라보,1101114427054,95.24,25513077000,T1u,,완제품제조,의류·패션,,,2025
(주)다산네트웍스,1101110924765,(주)다산디엠씨,1101111574709,61.53,44913751000,T1,,콘텐츠·SW,소프트웨어·IT,113733,,2025
(주)다산네트웍스,1101110924765,(주)다산벤처스,1311110537555,39.05,4413318000,T1u,,인적서비스,전문서비스,,,2025
(주)다산네트웍스,1101110924765,주식회사 디티에스,1942110063735,37.69,31674740000,T1u,,완제품제조,기계·운송기기,,,2025
(주)다산솔루에타,1351110065750,(주)다산벤처스,1311110537555,39.05,4413000000,T1u,,인적서비스,전문서비스,,,2025
(주)다우기술,1101110414758,(주)키움이앤에스,1101111719397,81.37,100466000000,T2,,인적서비스,부동산·임대,"22,926",,2025
(주)다우기술,1101110414758,한국정보인증(주),1101111727332,43.88,71423000000,T2,,콘텐츠·SW,소프트웨어·IT,"86,610",,2025
(주)다우기술,1101110414758,키움증권(주),1101111867948,41.55,183944000000,T2,,금융,증권·투자매매업,"15,715,187",,2025
(주)다우기술,1101110414758,(주)사람인,1101113318387,32.59,15111000000,T2,,플랫폼·중개,소프트웨어·IT,"84,111",,2025
(주)다우데이타,1101110863484,(유)씨엑스케이,1101140036268,100.0,1000000000,T2,,인적서비스,소프트웨어·IT,170,,2025
(주)다우데이타,1101110863484,(주)다우기술,1101110414758,45.2,163329000000,T2,,플랫폼·중개,소프트웨어·IT,"357,361",,2025
(주)다우데이타,1101110863484,(주)키다리스튜디오,1101110539382,36.56,52288000000,T2,,플랫폼·중개,소프트웨어·IT,"102,569",,2025
(주)다원시스,1350110049607,(주)다원넥스트,1701110499980,100.0,,T1u,,완제품제조,기계·운송기기,,,2025
(주)대교,1101110514029,주식회사 대교뉴이프,1101118655271,100.0,17665000000,T1u,,인적서비스,의료·보건,,,2025
(주)대교,1101110514029,(주)대교에듀캠프,1101113670597,99.99,3210000000,T1u,,인적서비스,교육,,,2025
(주)대덕,1301110007608,엔알랩 주식회사,1311110602035,100.0,40000000000,T1u,,부품제조,전자·정밀,,,2025
(주)대덕,1301110007608,(주)와이솔,1358110154111,35.7,103660000000,T1,,부품제조,전자·정밀,321239,,2025
(주)대덕,1301110007608,대덕전자(주),1314110460809,31.5,163326000000,T1,,부품제조,전자·정밀,1065294,,2025
(주)대동,1911110000104,하이드로텍 주식회사,1701110256786,100.0,5333000000,T1u,,완제품제조,기계·운송기기,,,2025
(주)대동,1911110000104,주식회사 제주대동,2201110107772,100.0,50000000000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)대동,1911110000104,주식회사 대동애그테크,1101118199542,66.79,2572000000,T1u,,인적서비스,소프트웨어·IT,,,2025
(주)대동,1911110000104,대동금속(주),1741110002630,52.78,3412000000,T1,,소재제조,금속,101817,,2025
(주)대동,1911110000104,대동기어(주),1911110000758,44.74,29827000000,T1,,완제품제조,기계·운송기기,220939,,2025
(주)대성하이텍,1701110205600,(주)디에스엠,1901110037223,57.3,1308438000,T1,,부품제조,기계·운송기기,28477,,2025
(주)대우건설,1101112137895,(주)대우에스티,1543110016706,100.0,37887000000,T2,,시공·건설,건설·시공,"336,067",,2025
(주)대우건설,1101112137895,(주)세중이엔씨,1701110440644,100.0,275000000,T2,,시설·자산운영,부동산·임대,"21,783",,2025
(주)대우건설,1101112137895,지더블유아이시(주),2341110063332,100.0,1000000,T2,,시설·자산운영,부동산·임대,"10,803",,2025
(주)대우건설,1101112137895,대우송도호텔(주),1201110451998,100.0,12001000000,T2,,시설·자산운영,레저·숙박·스포츠,"40,817",,2025
(주)대우건설,1101112137895,안산그린파워(주),1314110594541,100.0,1600000000,모수밖,,,,0,,2025
(주)대우건설,1101112137895,(주)푸르웰,1101114545624,100.0,500000000,T2,,인적서비스,외식·급식,"33,213",,2025
(주)대우건설,1101112137895,(주)창원혁신산단개발자산관리,1942110252213,100.0,240000000,T2,,시설·자산운영,부동산·임대,316,,2025
(주)대우건설,1101112137895,(주)스튜디오푸르지오,1101110939691,100.0,450000000,모수밖,,,,0,,2025
(주)대우건설,1101112137895,안산그린에너지(주),1101118607389,90.0,14202000000,T2,,시설·자산운영,에너지·자원·환경,"2,450",,2025
(주)대우건설,1101112137895,망포역세권개발피에프브이(주),1348110665622,79.0,7900000000,T2,,시설·자산운영,부동산·임대,"24,101",,2025
(주)대우건설,1101112137895,한국인프라관리(주),1801110725317,59.0,879000000,T2,,시설·자산운영,부동산·임대,"47,153",,2025
(주)대우건설,1101112137895,반포센트럴피에프브이 주식회사,1345110501161,53.0,1000000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)대우건설,1101112137895,풍무역세권개발자산관리(주),1244110193566,51.0,51000000,T2,,시설·자산운영,부동산·임대,"2,287",,2025
(주)대우건설,1101112137895,디에스케이피에프브이(주),1101110924679,51.0,2550000000,T2,,시설·자산운영,부동산·임대,"6,384",,2025
(주)대우건설,1101112137895,경산지식산업개발(주),1748110060999,50.0,2500000000,T2,,시설·자산운영,부동산·임대,"16,583",,2025
(주)대우건설,1101112137895,(주)고촌복합개발자산관리,1244110257172,50.0,1000000,T2,,시설·자산운영,부동산·임대,6,,2025
(주)대우건설,1101112137895,(주)청주테크노폴리스자산관리,1501110116497,35.0,105000000,T2,,인적서비스,부동산·임대,"1,587",,2025
(주)대우건설,1101112137895,은평새길(주),1101114155390,33.0,1304000000,모수밖,,,,0,,2025
(주)대우건설,1101112137895,지티엑스비(주),1101118546462,31.0,65913000000,모수밖,,,,0,,2025
(주)대웅,1311110000271,대웅바이오(주),1311120004827,100.0,58851808000,모수밖,,소재제조,의약·바이오,,,2025
(주)대웅,1311110000271,(주)대웅개발,1311110083649,100.0,105459375000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)대웅,1311110000271,(주)대웅제약,1348110075342,52.65,264445988000,T1,,소재제조,의약·바이오,1570891,,2025
(주)대웅제약,1348110075342,주식회사 아이엔테라퓨틱스,1345110459592,93.91,8118330000,T1u,,소재제조,의약·바이오,,,2025
(주)대웅제약,1348110075342,힐리언스,1101113265778,78.73,15620220000,T1u,,시설·자산운영,레저·숙박·스포츠,,,2025
(주)대웅제약,1348110075342,한올바이오파마(주),1641110000397,31.74,116111366000,T1,,소재제조,의약·바이오,155184,,2025
(주)대원,1501110003058,주식회사 대원모방,1501110227020,100.0,11546650000,모수밖,,소재제조,의류·패션,,,2025
(주)대창,1301110007137,(주)에쎈테크,1201110087834,50.0,19143000000,T1,,완제품제조,기계·운송기기,57909,,2025
(주)대한항공,1101110108484,(주)싸이버스카이,1101111993397,100.0,6267000000,T2,,소매,다품목·범용,"15,817",,2025
(주)대한항공,1101110108484,케이에비에이션(주),1101118140173,100.0,5000000000,T2,,운송·보관,항공운송,"16,015",,2025
(주)대한항공,1101110108484,케이웨이프라퍼티(주),1101110937835,100.0,270000000000,모수밖,,,,0,,2025
(주)대한항공,1101110108484,(주)항공종합서비스,1101112204024,100.0,,T2,,인적서비스,사업지원서비스,"7,468",,2025
(주)대한항공,1101110108484,아이에이티(주),1201110553067,100.0,89623000000,T2,,완제품제조,기계·운송기기,"7,093",,2025
(주)대한항공,1101110108484,(주)왕산레저개발,1201110587462,100.0,175402000000,T2,,시설·자산운영,레저·숙박·스포츠,"2,454",,2025
(주)대한항공,1101110108484,한진정보통신(주),1101110657259,99.35,30077000000,T2,,인적서비스,소프트웨어·IT,"240,270",,2025
(주)대한항공,1101110108484,(주)한국글로발로지스틱스시스템,1101111814105,95.0,4024000000,T2,,시설·자산운영,통신·네트워크,"3,043",,2025
(주)대한항공,1101110108484,아시아나항공(주),1101110562804,63.88,1964113000000,T2,,운송·보관,항공운송,"6,196,916",,2025
(주)대한항공,1101110108484,한국공항(주),1101110003692,59.54,145352000000,T2,,운송·보관,창고·물류,"586,547",,2025
(주)대한항공,1101110108484,(주)진에어,1201110454976,54.91,604984000000,T2,,운송·보관,항공운송,"1,381,081",,2025
(주)더네이쳐홀딩스,1101112958259,주식회사 디이엠홀딩스,1101118908141,100.0,26000000000,T1u,,소매,의류·패션,,,2025
(주)더네이쳐홀딩스,1101112958259,주식회사 더네이쳐홀딩스인베스트먼트,1101118567369,100.0,10500000000,T1u,,금융,자산운용업,,,2025
(주)더네이쳐홀딩스,1101112958259,(주)배럴,1101114256924,41.67,63982000000,T1,,완제품제조,의류·패션,59192,,2025
(주)더스텔라,1101110704896,주식회사 미니멈,1101114150845,100.0,11807742000,T1u,,완제품제조,의류·패션,,,2025
(주)더존비즈온,1201110005266,바이오테크이노밸리피에프브이 주식회사,1101110935877,91.0,4550000000,T1u,,시설·자산운영,부동산·임대,,,2025
(주)덕양에너젠,2062110077244,케이앤디에너젠주식회사,2301110387976,50.0,39544000000,T1u,,소재제조,화학·소재,,,2025
(주)덱스터스튜디오,2850110209804,주식회사 덱스터픽쳐스,1101116816586,76.72,4515000000,T1u,,콘텐츠·SW,미디어·광고·영상,,,2025
(주)덱스터스튜디오,2850110209804,주식회사 플래시백그라운드,1101119158670,68.36,1500000000,T1u,,인적서비스,사업지원서비스,,,2025
(주)덱스터스튜디오,2850110209804,주식회사 덱스터크레마,1101114092873,65.56,8691000000,T1u,,인적서비스,미디어·광고·영상,,,2025
(주)동방,1101110124521,동방에스앤디(주),1101110609698,100.0,,T1u,,콘텐츠·SW,소프트웨어·IT,,,2025
(주)동서,1101110180888,동서물산주식회사,1243110011116,62.5,23529078000,T1u,,완제품제조,식품·음료,,,2025
(주)동서,1101110180888,동서식품 주식회사,1201110000464,50.0,708166207000,T1u,,완제품제조,식품·음료,,,2025
(주)동성케미컬,1801110633031,(주)디앤케이켐텍,1801111262053,50.0,6574000000,T2,,소재제조,화학·소재,"27,263",,2025
(주)동성케미컬,1801110633031,(주)동성화인텍,1101110404361,37.94,66683000000,T1,,소재제조,화학·소재,742186,,2025
(주)동아엘텍,1341110065470,(주)선익시스템,1101110700555,48.71,7659000000,T1,,완제품제조,기계·운송기기,515761,,2025
(주)동양,1101110005333,(주)유진홈센터,1101114498568,100.0,,T2,,도매·상사,건설·시공,"24,326",,2025
(주)동양,1101110005333,유진한일합섬(주),1101116615714,100.0,92743000000,T2,,소재제조,의류·패션,"46,023",,2025
(주)동양,1101110005333,(주)동양에너지,1313110069851,100.0,,T2,,시설·자산운영,에너지·자원·환경,"3,877",,2025
(주)동양,1101110005333,금왕에프원(주),1501110315239,100.0,29258000000,T2,,시설·자산운영,부동산·임대,"2,954",,2025
(주)동양,1101110005333,디씨아이티와이부천피에프브이(주),1101110940971,91.0,4550000000,모수밖,,,,0,,2025
(주)동양,1101110005333,디씨아이티와이인천피에프브이(주),1101110941044,91.0,4550000000,모수밖,,,,0,,2025
(주)동양,1101110005333,유진이엔티(주),1101118765020,49.0,93725000000,T2,,콘텐츠·SW,미디어·광고·영상,432,,2025
(주)동양건설산업,1101110004038,(주)동양동탄주택,2001110473713,100.0,,T2,,시공·건설,건설·시공,84,,2025
(주)동양건설산업,1101110004038,(주)동양개발산업,2001110376652,100.0,49350000000,T2,,시설·자산운영,부동산·임대,825,,2025
(주)동양건설산업,1101110004038,(주)파인자산관리,2001110249792,100.0,925000000,T2,,시설·자산운영,부동산·임대,"2,499",,2025
(주)동양건설산업,1101110004038,(주)동양주택개발,2001110410004,100.0,,T2,,시설·자산운영,부동산·임대,10,,2025
(주)동양건설산업,1101110004038,(주)파라곤산업,2001110611579,100.0,15614000000,T2,,시공·건설,건설·시공,413,,2025
(주)동양건설산업,1101110004038,(주)파라곤개발,2001110611587,100.0,15573000000,T2,,시공·건설,건설·시공,413,,2025
(주)동양건설산업,1101110004038,(주)하남파라곤,2001110455919,99.23,38530000000,T2,,시공·건설,건설·시공,"5,705",,2025
(주)동양건설산업,1101110004038,나라사랑(주),2001110292577,76.6,890000000,T2,,인적서비스,부동산·임대,"2,285",,2025
(주)동양건설산업,1101110004038,덕산일반산업단지자산관리(주),1942110274712,75.0,75000000,모수밖,,,,0,,2025
(주)동양건설산업,1101110004038,부국강병(주),1101114376558,72.0,469000000,T2,,인적서비스,부동산·임대,"2,232",,2025
(주)동양건설산업,1101110004038,포항마리나(주),1717110082287,70.0,2649000000,모수밖,,,,0,,2025
(주)동양건설산업,1101110004038,(주)동양가평개발,2001110727996,51.0,,모수밖,,,,0,,2025
(주)동양건설산업,1101110004038,(주)더블파이낸스대부,2001110261952,50.0,1172000000,T2,,금융,여신전문금융업,239,,2025
(주)동양건설산업,1101110004038,우리병영(주),1101114227636,46.79,355000000,T2,,인적서비스,부동산·임대,"2,582",,2025
(주)동양건설산업,1101110004038,덕산일반산업단지(주),1942110274704,46.0,2339000000,모수밖,,,,0,,2025
(주)동양건설산업,1101110004038,(주)더블캐피탈,1101118334081,45.0,8946000000,T2,,금융,여신전문금융업,"2,143",,2025
(주)동양건설산업,1101110004038,양지포곡도시고속화도로(주),1101113780726,32.0,85000000,모수밖,,,,0,,2025
(주)동원에프앤비,1101112101816,(주)동원홈푸드,1615110022122,100.0,142192000000,T2,,완제품제조,식품·음료,"2,643,330",,2025
(주)동원에프앤비,1101112101816,동원팜스(주),1101113809138,100.0,43918000000,T2,,완제품제조,식품·음료,"247,449",,2025
(주)동원에프앤비,1101112101816,동원씨앤에스(주),1101112862591,100.0,850000000,T2,,인적서비스,사업지원서비스,"17,160",,2025
(주)두산,1101110013774,(주)두산베어스,1101110346919,100.0,15559000000,T2,,인적서비스,레저·숙박·스포츠,"79,529",,2025
(주)두산,1101110013774,두산경영연구원(주),1101115976761,100.0,8000000000,T2,,인적서비스,교육,"33,011",,2025
(주)두산,1101110013774,두산로지스틱스솔루션(주),1345110391661,100.0,56653000000,T2,,인적서비스,소프트웨어·IT,"65,784",,2025
(주)두산,1101110013774,두산포트폴리오홀딩스(주),1101118224266,100.0,280575000000,T2,,지주·투자,다품목·범용,"4,791",Y,2025
(주)두산,1101110013774,(주)두산인베스트먼트,1101118693031,100.0,10000000000,T2,,금융,여신전문금융업,"2,802",,2025
(주)두산,1101110013774,(주)두산모빌리티이노베이션,1345110308129,91.55,206300000000,T2,,완제품제조,기계·운송기기,"32,153",,2025
(주)두산,1101110013774,두산로보틱스(주),1101115798272,68.11,66928000000,T2,,완제품제조,기계·운송기기,"27,301",,2025
(주)두산,1101110013774,(주)오리콤,1101110176986,60.89,23168000000,T2,,인적서비스,미디어·광고·영상,"162,676",,2025
(주)두산,1101110013774,두산에너빌리티(주),1942110000943,30.39,2536311000000,T2,,완제품제조,기계·운송기기,"7,117,023",,2025
(주)드림시큐리티,1101115448356,(주)시드코어,1601110240377,100.0,3695000000,T1u,,콘텐츠·SW,소프트웨어·IT,,,2025
(주)드림시큐리티,1101115448356,인베스트드림 유한회사,1101140279007,100.0,41200000000,T1u,,지주·투자,다품목·범용,,,2025
(주)드림씨아이에스,1101111953953,(주)메디팁,1341110149026,66.69,25537000000,T1u,,인적서비스,전문서비스,,,2025
(주)디비하이텍,1101110026206,(주)디비글로벌칩,1311110703908,100.0,75060000000,T2,,부품제조,전자·정밀,"162,897",,2025
(주)디비하이텍,1101110026206,(주)디비기술투자,1211110457979,51.0,5355000000,T2,,금융,여신전문금융업,760,,2025
(주)디비하이텍,1101110026206,동부철구(주),1101110367212,49.71,6829000000,모수밖,,,,0,,2025
(주)디아이,1101110039209,(주)디아이씨,1801110025147,66.7,2180000000,T1,,부품제조,기계·운송기기,757310,,2025
(주)디아이,1101110039209,주식회사 브이텐시스템,1342110180721,60.0,5925000000,T1u,,완제품제조,기계·운송기기,,,2025
(주)디알비동일,1801110000339,동일고무벨트(주),1801110828129,44.13,43371405000,T1,,소재제조,화학·소재,364602,,2025
