record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,po_id,po_line_id,contract_id,supplier_id,material_id,order_date,due_date,order_quantity,quantity_uom,unit_price,currency,status
prc-02-781a2bebbb0a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0be24067a30f,PO-000011,PO-000011-10,CTR-00011,SUP-0001,MAT-CO-0021,2026-07-22,2026-08-09,60.0,EA,10616.87,KRW,OPEN
prc-02-78b86f0e79f1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3b5c66ad972,PO-000012,PO-000012-10,CTR-00012,SUP-0002,MAT-RA-0024,2026-02-09,2026-03-06,15.0,TON,10702.84,USD,OPEN
prc-02-ac75aaf6dc39,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8a03a5197532,PO-000013,PO-000013-10,CTR-00013,SUP-0003,MAT-RA-0025,2026-02-26,2026-03-30,19.5,TON,10788.8,USD,DELIVERED
prc-02-1972f899a214,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d4d7dbb667e0,PO-000014,PO-000014-10,CTR-00014,SUP-0004,MAT-CO-0026,2026-03-15,2026-04-23,24.0,EA,10874.77,USD,DELIVERED
prc-02-2bd686c68982,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d77514ac7c86,PO-000015,PO-000015-10,CTR-00015,SUP-0005,MAT-CO-0027,2026-04-02,2026-05-18,28.5,EA,10960.74,KRW,OPEN
prc-02-4dde40cb3885,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e716ff1d9bb0,PO-000016,PO-000016-10,CTR-00016,SUP-0006,MAT-RA-0030,2026-04-19,2026-06-11,33.0,TON,11046.7,USD,DELIVERED
prc-02-55b5ae0e6500,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-56a401ac5ba4,PO-000017,PO-000017-10,CTR-00017,SUP-0007,RM-CU-CONC,2026-05-06,2026-07-05,37.5,TON,11132.67,USD,DELIVERED
prc-02-aa8037161af3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89a4215196ca,PO-000018,PO-000018-10,CTR-00018,SUP-0008,RM-MHP,2026-05-23,2026-07-29,42.0,TON,11218.64,USD,DELIVERED
prc-02-f5db9c1f52a9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-46d9e9e09169,PO-000019,PO-000019-10,CTR-00019,SUP-0009,RM-H2SO4,2026-06-09,2026-08-22,46.5,TON,104.55,KRW,OPEN
prc-02-9f10253c28c0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-52c432883174,PO-000020,PO-000020-10,CTR-00020,SUP-0010,RM-LIME,2026-06-26,2026-09-15,51.0,TON,10616.87,USD,DELIVERED
prc-02-9d5ebd15270f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-20549a9c2a60,PO-000021,PO-000021-10,CTR-00001,SUP-0001,RM-CU-CONC,2026-07-13,2026-07-31,55.5,TON,10530.9,KRW,DELIVERED
prc-02-3b464e123aae,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3d0adb998c91,PO-000022,PO-000022-10,CTR-00002,SUP-0002,RM-MHP,2026-02-01,2026-02-26,60.0,TON,10616.87,USD,DELIVERED
prc-02-692dd5425d36,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f6beb090dcc9,PO-000023,PO-000023-10,CTR-00003,SUP-0003,RM-H2SO4,2026-02-18,2026-03-22,15.0,TON,106.25,USD,OPEN
prc-02-88cce363c6a7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-81dac4b54b54,PO-000024,PO-000024-10,CTR-00004,SUP-0004,RM-LIME,2026-03-07,2026-04-15,19.5,TON,10788.8,USD,OPEN
prc-02-a3fffb50effa,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-644ac1372036,PO-000025,PO-000025-10,CTR-00005,SUP-0005,MAT-RA-0013,2026-03-24,2026-05-09,24.0,TON,10874.77,KRW,OPEN
prc-02-775ff9e3faca,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-898e11145fba,PO-000026,PO-000026-10,CTR-00006,SUP-0006,MAT-CO-0014,2026-04-10,2026-06-02,28.5,EA,10960.74,USD,DELIVERED
prc-02-974d8f5e6bbe,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4dfa93469f8d,PO-000027,PO-000027-10,CTR-00007,SUP-0007,MAT-CO-0015,2026-04-27,2026-06-26,33.0,EA,11046.7,USD,OPEN
prc-02-49e1ad7ef032,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-636625d21222,PO-000028,PO-000028-10,CTR-00008,SUP-0008,MAT-RA-0018,2026-05-14,2026-07-20,37.5,TON,11132.67,USD,DELIVERED
prc-02-4c9206e8d273,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c19c21ba054e,PO-000029,PO-000029-10,CTR-00009,SUP-0009,MAT-RA-0019,2026-06-01,2026-08-14,42.0,TON,11218.64,KRW,OPEN
prc-02-5311205b1a9d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b3c2833b090c,PO-000030,PO-000030-10,CTR-00010,SUP-0010,MAT-CO-0020,2026-06-18,2026-09-07,46.5,EA,10530.9,USD,DELIVERED
prc-02-7b3ed3948b1b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f52850cd19e3,PO-000031,PO-000031-10,CTR-00011,SUP-0001,MAT-CO-0021,2026-07-05,2026-07-23,51.0,EA,10616.87,KRW,OPEN
prc-02-cacab4397f0e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2bbf5764ad97,PO-000032,PO-000032-10,CTR-00012,SUP-0002,MAT-RA-0024,2026-07-22,2026-08-16,55.5,TON,10702.84,USD,DELIVERED
prc-02-fa9aead2ca60,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-abf00cb399a3,PO-000033,PO-000033-10,CTR-00013,SUP-0003,MAT-RA-0025,2026-02-09,2026-03-13,60.0,TON,10788.8,USD,DELIVERED
prc-02-ede1bc201f2d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-861256f56de5,PO-000034,PO-000034-10,CTR-00014,SUP-0004,MAT-CO-0026,2026-02-26,2026-04-06,15.0,EA,10874.77,USD,OPEN
prc-02-cd606f2931ef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1a86729aa03b,PO-000035,PO-000035-10,CTR-00015,SUP-0005,MAT-CO-0027,2026-03-15,2026-04-30,19.5,EA,10960.74,KRW,DELIVERED
prc-02-a02fc0ab550b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8100629be402,PO-000036,PO-000036-10,CTR-00016,SUP-0006,MAT-RA-0030,2026-04-02,2026-05-25,24.0,TON,11046.7,USD,DELIVERED
prc-02-33090d701d9c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-57e0d7ee5855,PO-000037,PO-000037-10,CTR-00017,SUP-0007,RM-CU-CONC,2026-04-19,2026-06-18,28.5,TON,11132.67,USD,DELIVERED
prc-02-9cd30fe369b3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c6ca9bb992a1,PO-000038,PO-000038-10,CTR-00018,SUP-0008,RM-MHP,2026-05-06,2026-07-12,33.0,TON,11218.64,USD,DELIVERED
prc-02-15d980c0e798,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5846d1c7ccb4,PO-000039,PO-000039-10,CTR-00019,SUP-0009,RM-H2SO4,2026-05-23,2026-08-05,37.5,TON,104.55,KRW,OPEN
prc-02-b9ed61bf98d9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-95396a78d298,PO-000040,PO-000040-10,CTR-00020,SUP-0010,RM-LIME,2026-06-09,2026-08-29,42.0,TON,10616.87,USD,DELIVERED
prc-02-ccce684b1a19,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa98a8bb44b0,PO-000041,PO-000041-10,CTR-00001,SUP-0001,RM-CU-CONC,2026-06-26,2026-07-14,46.5,TON,10530.9,KRW,OPEN
prc-02-0949aefae44f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-69464a3cecda,PO-000042,PO-000042-10,CTR-00002,SUP-0002,RM-MHP,2026-07-13,2026-08-07,51.0,TON,10616.87,USD,DELIVERED
prc-02-5bea34845bb3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3ba1f778e29d,PO-000043,PO-000043-10,CTR-00003,SUP-0003,RM-H2SO4,2026-02-01,2026-03-05,55.5,TON,106.25,USD,DELIVERED
prc-02-b51488723e65,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a32ac8a634fc,PO-000044,PO-000044-10,CTR-00004,SUP-0004,RM-LIME,2026-02-18,2026-03-29,60.0,TON,10788.8,USD,OPEN
prc-02-4a527d78e8c9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b20d77bea746,PO-000045,PO-000045-10,CTR-00005,SUP-0005,MAT-RA-0013,2026-03-07,2026-04-22,15.0,TON,10874.77,KRW,DELIVERED
prc-02-fa2a90a3bb97,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07184b7c9a7a,PO-000046,PO-000046-10,CTR-00006,SUP-0006,MAT-CO-0014,2026-03-24,2026-05-16,19.5,EA,10960.74,USD,DELIVERED
prc-02-361f805404f2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9f92e6e89a12,PO-000047,PO-000047-10,CTR-00007,SUP-0007,MAT-CO-0015,2026-04-10,2026-06-09,24.0,EA,11046.7,USD,DELIVERED
prc-02-e0642d0c17a0,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dbb498bb1354,PO-000048,PO-000048-10,CTR-00008,SUP-0008,MAT-RA-0018,2026-04-27,2026-07-03,28.5,TON,11132.67,USD,OPEN
prc-02-f830d4685b01,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9ce810dc885c,PO-000049,PO-000049-10,CTR-00009,SUP-0009,MAT-RA-0019,2026-05-14,2026-07-27,33.0,TON,11218.64,KRW,OPEN
prc-02-a8a6e3124897,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a55f10fce64d,PO-000050,PO-000050-10,CTR-00010,SUP-0010,MAT-CO-0020,2026-06-01,2026-08-21,37.5,EA,10530.9,USD,OPEN
prc-02-c4ef1567d189,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-96aa829b7c3e,PO-000051,PO-000051-10,CTR-00011,SUP-0001,MAT-CO-0021,2026-06-18,2026-07-06,42.0,EA,10616.87,KRW,OPEN
prc-02-23137a368fe4,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8113a5b0c65,PO-000052,PO-000052-10,CTR-00012,SUP-0002,MAT-RA-0024,2026-07-05,2026-07-30,46.5,TON,10702.84,USD,DELIVERED
prc-02-03152898befb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a9488caa911e,PO-000053,PO-000053-10,CTR-00013,SUP-0003,MAT-RA-0025,2026-07-22,2026-08-23,51.0,TON,10788.8,USD,DELIVERED
prc-02-a20381162977,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c82fb458c623,PO-000054,PO-000054-10,CTR-00014,SUP-0004,MAT-CO-0026,2026-02-09,2026-03-20,55.5,EA,10874.77,USD,OPEN
prc-02-4794ebacc694,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-18d034559abf,PO-000055,PO-000055-10,CTR-00015,SUP-0005,MAT-CO-0027,2026-02-26,2026-04-13,60.0,EA,10960.74,KRW,DELIVERED
prc-02-14a1d5ef00fb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-273b5f6abe79,PO-000056,PO-000056-10,CTR-00016,SUP-0006,MAT-RA-0030,2026-03-15,2026-05-07,15.0,TON,11046.7,USD,DELIVERED
prc-02-f7afa7d9a41d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f40ef6e53457,PO-000057,PO-000057-10,CTR-00017,SUP-0007,RM-CU-CONC,2026-04-02,2026-06-01,19.5,TON,11132.67,USD,OPEN
prc-02-35b118b36ea3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f796467a8ca9,PO-000058,PO-000058-10,CTR-00018,SUP-0008,RM-MHP,2026-04-19,2026-06-25,24.0,TON,11218.64,USD,DELIVERED
prc-02-377286b80b54,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-daf22d932341,PO-000059,PO-000059-10,CTR-00019,SUP-0009,RM-H2SO4,2026-05-06,2026-07-19,28.5,TON,104.55,KRW,DELIVERED
prc-02-95ac8fe8d0d2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1cc41c0aeb83,PO-000060,PO-000060-10,CTR-00020,SUP-0010,RM-LIME,2026-05-23,2026-08-12,33.0,TON,10616.87,USD,OPEN
prc-02-a8f65bcb583c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ddf799bf0552,PO-000061,PO-000061-10,CTR-00001,SUP-0001,RM-CU-CONC,2026-06-09,2026-06-27,37.5,TON,10530.9,KRW,DELIVERED
prc-02-335162cfbf26,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-633d615caa94,PO-000062,PO-000062-10,CTR-00002,SUP-0002,RM-MHP,2026-06-26,2026-07-21,42.0,TON,10616.87,USD,OPEN
prc-02-532c3390e95d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9ba2cc7c1209,PO-000063,PO-000063-10,CTR-00003,SUP-0003,RM-H2SO4,2026-07-13,2026-08-14,46.5,TON,106.25,USD,DELIVERED
prc-02-930bcc4c38a2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-50c96538e814,PO-000064,PO-000064-10,CTR-00004,SUP-0004,RM-LIME,2026-02-01,2026-03-12,51.0,TON,10788.8,USD,DELIVERED
prc-02-74be86a9f00a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e3acc58fc07f,PO-000065,PO-000065-10,CTR-00005,SUP-0005,MAT-RA-0013,2026-02-18,2026-04-05,55.5,TON,10874.77,KRW,DELIVERED
prc-02-9bd57f2ac59e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-220fa00ed9a8,PO-000066,PO-000066-10,CTR-00006,SUP-0006,MAT-CO-0014,2026-03-07,2026-04-29,60.0,EA,10960.74,USD,OPEN
prc-02-63cd79384cdd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fd17b6553808,PO-000067,PO-000067-10,CTR-00007,SUP-0007,MAT-CO-0015,2026-03-24,2026-05-23,15.0,EA,11046.7,USD,OPEN
prc-02-3ad2539de97b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-968b99b53aca,PO-000068,PO-000068-10,CTR-00008,SUP-0008,MAT-RA-0018,2026-04-10,2026-06-16,19.5,TON,11132.67,USD,DELIVERED
prc-02-d6f0bb05c5d3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a5809552782,PO-000069,PO-000069-10,CTR-00009,SUP-0009,MAT-RA-0019,2026-04-27,2026-07-10,24.0,TON,11218.64,KRW,DELIVERED
prc-02-003beeed1b47,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-943d6585a5e3,PO-000070,PO-000070-10,CTR-00010,SUP-0010,MAT-CO-0020,2026-05-14,2026-08-03,28.5,EA,10530.9,USD,OPEN
prc-02-e016dec14446,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8d4f517d9d40,PO-000071,PO-000071-10,CTR-00011,SUP-0001,MAT-CO-0021,2026-06-01,2026-06-19,33.0,EA,10616.87,KRW,DELIVERED
prc-02-830870c2534a,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-64ac2307d95a,PO-000072,PO-000072-10,CTR-00012,SUP-0002,MAT-RA-0024,2026-06-18,2026-07-13,37.5,TON,10702.84,USD,DELIVERED
prc-02-5a6d7e83a249,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e7bee119a0ea,PO-000073,PO-000073-10,CTR-00013,SUP-0003,MAT-RA-0025,2026-07-05,2026-08-06,42.0,TON,10788.8,USD,OPEN
prc-02-e37fd1d49d21,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-334e361f2a11,PO-000074,PO-000074-10,CTR-00014,SUP-0004,MAT-CO-0026,2026-07-22,2026-08-30,46.5,EA,10874.77,USD,DELIVERED
prc-02-845b4780d11e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b859c437cbd3,PO-000075,PO-000075-10,CTR-00015,SUP-0005,MAT-CO-0027,2026-02-09,2026-03-27,51.0,EA,10960.74,KRW,OPEN
prc-02-7245022291b3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dc3a530810ea,PO-000076,PO-000076-10,CTR-00016,SUP-0006,MAT-RA-0030,2026-02-26,2026-04-20,55.5,TON,11046.7,USD,OPEN
prc-02-231a73827e7e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e7933b292131,PO-000077,PO-000077-10,CTR-00017,SUP-0007,RM-CU-CONC,2026-03-15,2026-05-14,60.0,TON,11132.67,USD,DELIVERED
prc-02-deabfa9a6146,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-104e74a4564a,PO-000078,PO-000078-10,CTR-00018,SUP-0008,RM-MHP,2026-04-02,2026-06-08,15.0,TON,11218.64,USD,OPEN
