record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,indicator_code,target_ref,observed_at,published_at,value,unit,source_id,trust_grade
ext-03-dfb46cc0ca19,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9621f6d82164,EXT3-SEA_FREIGHT-202202,SEA_FREIGHT,LANE,2022-02-28,2022-03-12,73.0438,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-69015044284c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-995e9feb5aa0,EXT3-INDUSTRIAL_POWER-202202,INDUSTRIAL_POWER,plant-afs-battery-02,2022-02-28,2022-03-12,120.5005,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-74b4bdfbbde3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d52f452b9cb1,EXT3-MFG_DEMAND_INDEX-202202,MFG_DEMAND_INDEX,INDUSTRY,2022-02-28,2022-03-12,105.985,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-9d0076a3ca4c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e58349d7df8a,EXT3-SEA_FREIGHT-202203,SEA_FREIGHT,LANE,2022-03-31,2022-04-12,69.8477,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-d36ed3d59b2d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3a174bcf29f3,EXT3-INDUSTRIAL_POWER-202203,INDUSTRIAL_POWER,plant-afs-battery-02,2022-03-31,2022-04-12,118.185,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-f5349697fc7f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4d1983f4fac7,EXT3-MFG_DEMAND_INDEX-202203,MFG_DEMAND_INDEX,INDUSTRY,2022-03-31,2022-04-12,105.9039,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-5905b942699a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9e9d9912190f,EXT3-SEA_FREIGHT-202204,SEA_FREIGHT,LANE,2022-04-30,2022-05-12,61.1298,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-8c0e306270b2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37fe0b952b39,EXT3-INDUSTRIAL_POWER-202204,INDUSTRIAL_POWER,plant-afs-battery-02,2022-04-30,2022-05-12,121.0829,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-bee970735337,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f24d562c3ca0,EXT3-MFG_DEMAND_INDEX-202204,MFG_DEMAND_INDEX,INDUSTRY,2022-04-30,2022-05-12,105.4558,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-12f42a46c8fb,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d3ebfa477820,EXT3-SEA_FREIGHT-202205,SEA_FREIGHT,LANE,2022-05-31,2022-06-12,54.6014,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-d2b6b414ba11,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1f082d5c3374,EXT3-INDUSTRIAL_POWER-202205,INDUSTRIAL_POWER,plant-afs-battery-02,2022-05-31,2022-06-12,116.1487,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-e724d9114519,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1da757b74097,EXT3-MFG_DEMAND_INDEX-202205,MFG_DEMAND_INDEX,INDUSTRY,2022-05-31,2022-06-12,104.6684,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-af96aab0e380,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0968bedb906e,EXT3-SEA_FREIGHT-202206,SEA_FREIGHT,LANE,2022-06-30,2022-07-12,53.7,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-364bf8ae76f7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a2fa2a16628f,EXT3-INDUSTRIAL_POWER-202206,INDUSTRIAL_POWER,plant-afs-battery-02,2022-06-30,2022-07-12,117.9356,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-08edd7543ffa,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9a513a9b691e,EXT3-MFG_DEMAND_INDEX-202206,MFG_DEMAND_INDEX,INDUSTRY,2022-06-30,2022-07-12,103.5908,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-7737cfdb389f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ef4626331e5b,EXT3-SEA_FREIGHT-202207,SEA_FREIGHT,LANE,2022-07-31,2022-08-12,59.713,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-3e32e606ec4c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c58335d4af81,EXT3-INDUSTRIAL_POWER-202207,INDUSTRIAL_POWER,plant-afs-battery-02,2022-07-31,2022-08-12,117.3443,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-721d95b78c64,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-38135dda7e93,EXT3-MFG_DEMAND_INDEX-202207,MFG_DEMAND_INDEX,INDUSTRY,2022-07-31,2022-08-12,102.29,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-bad63d68b368,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bbfc310d5064,EXT3-SEA_FREIGHT-202208,SEA_FREIGHT,LANE,2022-08-31,2022-09-12,62.7288,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-c8a320d1cdeb,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b71bec0d9c6,EXT3-INDUSTRIAL_POWER-202208,INDUSTRIAL_POWER,plant-afs-battery-02,2022-08-31,2022-09-12,118.7175,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-596aba12945e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7b1e0780a3a1,EXT3-MFG_DEMAND_INDEX-202208,MFG_DEMAND_INDEX,INDUSTRY,2022-08-31,2022-09-12,100.8467,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-1c398e19d898,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c071f0d3d1f5,EXT3-SEA_FREIGHT-202209,SEA_FREIGHT,LANE,2022-09-30,2022-10-12,56.2355,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-877ac7dc5b42,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ea601558c3d7,EXT3-INDUSTRIAL_POWER-202209,INDUSTRIAL_POWER,plant-afs-battery-02,2022-09-30,2022-10-12,115.7749,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-5cbf4976447d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-35376b64c1ea,EXT3-MFG_DEMAND_INDEX-202209,MFG_DEMAND_INDEX,INDUSTRY,2022-09-30,2022-10-12,99.3508,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-4a3abb8e3d3d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d79cdb757970,EXT3-SEA_FREIGHT-202210,SEA_FREIGHT,LANE,2022-10-31,2022-11-12,60.1893,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-107669af403a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1fa2141e666f,EXT3-INDUSTRIAL_POWER-202210,INDUSTRIAL_POWER,plant-afs-battery-02,2022-10-31,2022-11-12,115.9055,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-82b27fb5ec87,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b61e71acab0b,EXT3-MFG_DEMAND_INDEX-202210,MFG_DEMAND_INDEX,INDUSTRY,2022-10-31,2022-11-12,97.8953,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-fa571b967cb3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9cac96fead72,EXT3-SEA_FREIGHT-202211,SEA_FREIGHT,LANE,2022-11-30,2022-12-12,62.0538,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-2a5ba0a2fd66,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6c9594b15585,EXT3-INDUSTRIAL_POWER-202211,INDUSTRIAL_POWER,plant-afs-battery-02,2022-11-30,2022-12-12,120.0163,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-7d54a1963bbd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dcd9b91c3704,EXT3-MFG_DEMAND_INDEX-202211,MFG_DEMAND_INDEX,INDUSTRY,2022-11-30,2022-12-12,96.5706,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-b93acefdbfb6,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a3ad85340495,EXT3-SEA_FREIGHT-202212,SEA_FREIGHT,LANE,2022-12-31,2023-01-12,58.6647,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-26c285ea42ed,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f420e0095c8b,EXT3-INDUSTRIAL_POWER-202212,INDUSTRIAL_POWER,plant-afs-battery-02,2022-12-31,2023-01-12,119.4027,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-c7fabfb66694,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8fcd8d8d8b22,EXT3-MFG_DEMAND_INDEX-202212,MFG_DEMAND_INDEX,INDUSTRY,2022-12-31,2023-01-12,95.4592,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-012df3294fb0,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a3a87b741af5,EXT3-SEA_FREIGHT-202301,SEA_FREIGHT,LANE,2023-01-31,2023-02-12,61.4422,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-ecb10f93b965,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5f0a639e024a,EXT3-INDUSTRIAL_POWER-202301,INDUSTRIAL_POWER,plant-afs-battery-02,2023-01-31,2023-02-12,118.2615,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-c8e06431fed3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-773db4d586eb,EXT3-MFG_DEMAND_INDEX-202301,MFG_DEMAND_INDEX,INDUSTRY,2023-01-31,2023-02-12,94.6301,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-98ef5eb4cd3f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-75b826c7e9a4,EXT3-SEA_FREIGHT-202302,SEA_FREIGHT,LANE,2023-02-28,2023-03-12,52.5472,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-8f7a766097f9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1c4926795f13,EXT3-INDUSTRIAL_POWER-202302,INDUSTRIAL_POWER,plant-afs-battery-02,2023-02-28,2023-03-12,116.77,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-a56c596e0504,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-00fc3c39dcb2,EXT3-MFG_DEMAND_INDEX-202302,MFG_DEMAND_INDEX,INDUSTRY,2023-02-28,2023-03-12,94.1348,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-a96b7cd2cfbc,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4f603968fea5,EXT3-SEA_FREIGHT-202303,SEA_FREIGHT,LANE,2023-03-31,2023-04-12,55.2057,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-dcca14e79b6a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d25e71256bbe,EXT3-INDUSTRIAL_POWER-202303,INDUSTRIAL_POWER,plant-afs-battery-02,2023-03-31,2023-04-12,118.357,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-19d65765c303,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa771c530ec2,EXT3-MFG_DEMAND_INDEX-202303,MFG_DEMAND_INDEX,INDUSTRY,2023-03-31,2023-04-12,94.0042,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-ed1326fe85a4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c3e7e0cf0e9f,EXT3-SEA_FREIGHT-202304,SEA_FREIGHT,LANE,2023-04-30,2023-05-12,52.5703,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-688fcfa84c41,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-262b0b28239a,EXT3-INDUSTRIAL_POWER-202304,INDUSTRIAL_POWER,plant-afs-battery-02,2023-04-30,2023-05-12,118.3998,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-c6f2e84b418c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-88708be341ef,EXT3-MFG_DEMAND_INDEX-202304,MFG_DEMAND_INDEX,INDUSTRY,2023-04-30,2023-05-12,94.2465,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-77e2d09b9144,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ee4171b55502,EXT3-SEA_FREIGHT-202305,SEA_FREIGHT,LANE,2023-05-31,2023-06-12,50.4177,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-4d43e88aa3c9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c1fd4d3add77,EXT3-INDUSTRIAL_POWER-202305,INDUSTRIAL_POWER,plant-afs-battery-02,2023-05-31,2023-06-12,117.7492,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-a8af98d6fd01,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bd0961412e1a,EXT3-MFG_DEMAND_INDEX-202305,MFG_DEMAND_INDEX,INDUSTRY,2023-05-31,2023-06-12,94.8464,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-7c70841fdb7f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b4a32a4d0c58,EXT3-SEA_FREIGHT-202306,SEA_FREIGHT,LANE,2023-06-30,2023-07-12,54.9451,USD/TON,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-23807287a6d5,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7be62e6af4a1,EXT3-INDUSTRIAL_POWER-202306,INDUSTRIAL_POWER,plant-afs-battery-02,2023-06-30,2023-07-12,120.12,KRW/KWH,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-03-a71d164c523a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0edc5c77d67c,EXT3-MFG_DEMAND_INDEX-202306,MFG_DEMAND_INDEX,INDUSTRY,2023-06-30,2023-07-12,95.7668,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
