tenant_id,scope_node_id,data_class,data_origin,candidate_id,source_dataset_id,source_record_key,reason_code,reason_detail,expected_disposition,raw_payload
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0022,PRC-02,DEMO-PRC-02-0002,UOM_MISMATCH_CANDIDATE,계약 단위와 발주 단위 불일치,QUARANTINE,"{""demo_sequence"": 22, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0023,INV-01,DEMO-INV-01-0001,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 23, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0024,INV-01,DEMO-INV-01-0002,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 24, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0025,INV-01,DEMO-INV-01-0003,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 25, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0026,INV-01,DEMO-INV-01-0004,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 26, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0027,INV-01,DEMO-INV-01-0005,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 27, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0028,INV-01,DEMO-INV-01-0006,QUALITY_HOLD_STOCK,품질 보류 재고의 가용 재고 제외 필요,QUARANTINE,"{""demo_sequence"": 28, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0029,MFG-02,DEMO-MFG-02-0001,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 29, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0030,MFG-02,DEMO-MFG-02-0002,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 30, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0031,MFG-02,DEMO-MFG-02-0003,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 31, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0032,MFG-02,DEMO-MFG-02-0004,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 32, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0033,MFG-02,DEMO-MFG-02-0005,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 33, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0034,MFG-02,DEMO-MFG-02-0006,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 34, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0035,MFG-02,DEMO-MFG-02-0007,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 35, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0036,MFG-02,DEMO-MFG-02-0008,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 36, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0037,MFG-02,DEMO-MFG-02-0009,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 37, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0038,MFG-02,DEMO-MFG-02-0010,PRODUCTION_VARIANCE,계획 대비 생산 편차 임계치 초과,QUARANTINE,"{""demo_sequence"": 38, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0039,LOG-01,DEMO-LOG-01-0001,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 39, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0040,LOG-01,DEMO-LOG-01-0002,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 40, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0041,LOG-01,DEMO-LOG-01-0003,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 41, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0042,LOG-01,DEMO-LOG-01-0004,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 42, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0043,LOG-01,DEMO-LOG-01-0005,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 43, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0044,LOG-01,DEMO-LOG-01-0006,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 44, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0045,LOG-01,DEMO-LOG-01-0007,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 45, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0046,LOG-01,DEMO-LOG-01-0008,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 46, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0047,LOG-01,DEMO-LOG-01-0009,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 47, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0048,LOG-01,DEMO-LOG-01-0010,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 48, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,SYNTHETIC,QTN-0049,LOG-01,DEMO-LOG-01-0011,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 49, ""invalid_by_design"": true}"
tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,SYNTHETIC,QTN-0050,LOG-01,DEMO-LOG-01-0012,PARTNER_NOT_SUBMITTED,파트너 필수 제출 미완료,QUARANTINE,"{""demo_sequence"": 50, ""invalid_by_design"": true}"
