고유번호,순번,주주,관계,지분율
00867098,3,개인,임원,0.21
00867098,4,개인,임원,0.01
00867098,5,개인,친인척,0.69
00867098,6,개인,친인척,0.19
00867098,7,개인,,18.96
00867098,8,개인,,
00146649,0,개인,최대주주,29.1
00146649,1,일진파트너스 유한책임회사,특수관계인,24.6
00146649,2,개인,특수관계인,0.8
00146649,3,개인,특수관계인,0.0
00146649,4,개인,특수관계인,0.3
00146649,5,(재)일진과학기술문화재단,특수관계인,0.1
00146649,6,개인,,54.9
00146649,7,개인,,
00601191,0,개인,최대주주,28.43
00601191,1,개인,임원,0.67
00601191,2,(주)에이치앤티,특수관계인,0.22
00601191,3,개인,,29.32
00601191,4,개인,,
00148443,0,개인,본인,57.8
00148443,1,개인,자,9.7
00148443,2,개인,자,2.85
00148443,3,개인,친인척,1.88
00148443,4,개인,배우자,0.65
00148443,5,개인,친인척,0.18
00148443,6,개인,자,0.1
00148443,7,개인,,73.16
00148443,8,개인,,
00148939,0,개인,본인,9.62
00148939,1,개인,친인척,15.34
00148939,2,개인,친인척,5.69
00148939,3,개인,,30.65
00148939,4,개인,,
00438036,0,유비벨록스(주),최대주주,34.72
00438036,1,개인,임원,1.01
00438036,2,개인,계열회사 임원,0.07
00438036,3,개인,임원,0.04
00438036,4,개인,,35.84
00438036,5,개인,,
01255652,0,개인,본인,27.92
01255652,1,개인,임원,0.53
01255652,2,개인,임원,0.28
01255652,3,개인,임원,0.7
01255652,4,개인,임원,0.43
01255652,5,개인,임원,0.7
01255652,6,개인,임원,0.06
01255652,7,개인,임원,0.02
01255652,8,개인,임원,0.0
01255652,9,개인,임원,0.0
01255652,10,개인,특수관계인,11.87
01255652,11,개인,특수관계인,0.07
01255652,12,개인,특수관계인,0.0
01255652,13,개인,특수관계인,0.21
01255652,14,개인,특수관계인,0.1
01255652,15,개인,특수관계인,0.08
01255652,16,개인,특수관계인,0.09
01255652,17,개인,임원,0.7
01255652,18,개인,,43.76
01255652,19,개인,,
00664181,0,개인,본인,17.52
00664181,1,㈜인텔리안시스템즈,기타,4.86
00664181,2,개인,임원,0.26
00664181,3,개인,임원,0.25
00664181,4,개인,친인척,0.24
00664181,5,개인,친인척,0.0
00664181,6,개인,친인척,0.0
00664181,7,개인,,23.13
00664181,8,개인,,
01058101,0,개인,대표이사,18.58
01058101,1,개인,친인척,0.02
01058101,2,개인,친인척,0.02
01058101,3,개인,친인척,0.03
01058101,4,개인,등기임원,0.19
01058101,5,개인,등기임원,0.01
01058101,6,개인,미등기임원,0.0
01058101,7,개인,미등기임원,0.03
01058101,8,개인,계열사임원,0.21
01058101,9,개인,계열사임원,0.02
01058101,10,개인,친인척,0.53
01058101,11,개인,친인척,0.22
01058101,12,개인,,19.88
01058101,13,개인,,
01213586,0,㈜아이디스홀딩스,본인,46.2
01213586,1,개인,기타비상무이사(임원),5.8
01213586,2,개인,대표이사(임원),1.9
01213586,3,개인,사내이사(임원),0.2
01213586,4,개인,계열회사(임원),0.04
01213586,5,㈜빅솔론,계열회사,3.5
01213586,6,개인,,57.6
01213586,7,개인,,
00552992,0,개인,임원,8.67
00552992,1,개인,임원,3.43
00552992,2,개인,임원,3.52
00552992,3,개인,친인척,0.33
00552992,4,개인,,15.95
00552992,5,개인,,
00173731,0,케이브이삼호투자(유),최대주주,85.77
00173731,1,케이브이삼호투자(유),최대주주,100.0
00173731,2,신천개발(주),관계기업,0.01
00173731,3,(주)씨앤에스테크,관계기업,0.01
00173731,4,(주)씨앤에스홀딩스,종속기업,0.01
00173731,5,(주)씨앤에스자산관리,자사,0.0
00173731,6,개인,,85.8
00173731,7,개인,,100.0
01141942,0,개인,최대주주,9.18
01141942,1,개인,등기임원,11.13
01141942,2,개인,등기임원,11.13
01141942,3,개인,특수관계인,3.18
01141942,4,개인,특수관계인,3.18
01141942,5,개인,임원,0.12
01141942,6,개인,임원,0.02
01141942,7,개인,임원,0.17
01141942,8,개인,,38.12
01141942,9,개인,,
00491336,0,개인,최대주주,95.36
00491336,1,개인,,
00491336,2,개인,,95.36
00447760,0,개인,본인,21.93
00447760,1,개인,특수관계인,4.84
00447760,2,개인,특수관계인,0.0
00447760,3,개인,임원,0.0
00447760,4,개인,임원,0.0
00447760,5,개인,,26.77
00447760,6,개인,,
00118284,0,개인,본인,23.39
00118284,1,개인,형,20.53
00118284,2,개인,형,2.62
00118284,3,개인,자,3.1
00118284,4,개인,자,3.1
00118284,5,개인,배우자,1.55
00118284,6,개인,친인척,2.75
00118284,7,제일연마공업(주),관계회사,2.78
00118284,8,개인,,59.81
00118284,9,개인,,
00442145,0,개인,최대주주 본인,18.78
00442145,1,개인,최대주주의 자,5.33
00442145,2,(주)AVATEC,계열회사,4.97
00442145,3,(주)대명ENG,계열회사,0.42
00442145,4,개인,발행회사 임원,0.45
00442145,5,개인,발행회사 임원,0.16
00442145,6,개인,발행회사 임원,0.03
00442145,7,개인,계열회사 임원,0.01
00442145,8,개인,,30.15
00442145,9,개인,,
00411446,0,㈜삼화양행,본인,30.96
00411446,1,개인,관계사임원,1.62
00411446,2,개인,관계사임원,0.11
00411446,3,개인,,32.69
00411446,4,개인,,
01137295,0,광동제약 주식회사,최대주주,54.73
01137295,1,개인,등기임원,2.06
01137295,2,개인,미등기임원,0.67
01137295,3,개인,미등기임원,0.0
01137295,4,개인,미등기임원,0.0
01137295,5,개인,,57.46
01137295,6,개인,,
00532129,0,개인,본인,14.0
00532129,1,개인,비등기임원,0.39
00532129,2,개인,비등기임원,0.22
00532129,3,개인,비등기임원,0.06
00532129,4,개인,비등기임원,0.1
00532129,5,개인,비등기임원,0.04
00532129,6,개인,비등기임원,0.19
00532129,7,개인,계열사임원,0.17
00532129,8,개인,비등기임원,0.33
00532129,9,개인,비등기임원,0.18
00532129,10,개인,비등기임원,0.11
00532129,11,개인,가족,0.73
00532129,12,개인,비등기임원,0.11
00532129,13,개인,비등기임원,0.13
00532129,14,개인,비등기임원,0.01
00532129,15,개인,비등기임원,0.0
00532129,16,개인,가족,1.35
00532129,17,개인,가족,0.18
00532129,18,개인,가족,0.02
00532129,19,개인,인척,0.51
00532129,20,개인,등기임원,0.05
00532129,21,개인,등기임원,0.3
00532129,22,개인,비등기임원,0.31
00532129,23,개인,,19.49
00532129,24,개인,,
01459212,0,개인,최대주주 본인,20.5
01459212,1,개인,최대주주의 자녀,11.9
01459212,2,개인,최대주주의 배우자,7.9
01459212,3,개인,,40.3
01459212,4,개인,,
00763473,0,개인,최대주주 본인,25.2
00763473,1,개인,최대주주의 배우자,7.7
00763473,2,개인,최대주주의 자,3.0
00763473,3,개인,최대주주의 자,3.0
00763473,4,개인,발행회사 임원,0.0
00763473,5,개인,발행회사 임원,0.0
00763473,6,개인,발행회사 임원,0.0
00763473,7,개인,발행회사 임원,0.0
00763473,8,개인,,39.0
00763473,9,개인,,
00442048,0,개인,최대주주 본인,18.22
00442048,1,개인,최대주주의 자,5.71
00442048,2,개인,최대주주의 자,4.46
00442048,3,개인,최대주주의 배우자,2.93
00442048,4,개인,발행회사 임원,1.93
00442048,5,개인,임원,0.37
00442048,6,개인,계열사임원,0.19
00442048,7,(주)아바코,관계회사,4.83
00442048,8,개인,,38.64
00442048,9,개인,,
00663289,0,개인,최대주주,65.1
00663289,1,개인,배우자,9.59
00663289,2,개인,처남배우자,5.31
00663289,3,개인,처남,1.41
00663289,4,개인,자녀,1.0
00663289,5,개인,자녀,1.0
00663289,6,개인,자녀,1.0
00663289,7,개인,자녀,0.91
00663289,8,개인,사내이사,0.9
00663289,9,개인,,86.27
00663289,10,개인,,
00267979,0,개인,본 인,36.46
00267979,1,개인,외종수,1.02
00267979,2,개인,외사촌매제,0.9
00267979,3,개인,외당질,0.82
00267979,4,개인,외당질,0.82
00267979,5,개인,처,0.67
00267979,6,개인,자,0.15
00267979,7,개인,매 형,6.52
00267979,8,개인,누 나,6.27
00267979,9,개인,누 나,4.45
00267979,10,개인,매 형,2.85
00267979,11,개인,외사촌,1.99
00267979,12,개인,외사촌,1.2
00267979,13,개인,외당질,1.06
00267979,14,개인,외사촌,1.04
00267979,15,개인,,66.22
00267979,16,개인,,
00530121,0,(주)시너지이노베이션,최대주주,25.0
00530121,1,개인,특별관계자,9.7
00530121,2,시너지바이오조합,특별관계자,8.4
00530121,3,개인,,43.1
00530121,4,개인,,
00166272,0,개인,최대주주본인,35.42
00166272,1,개인,최대주주 子,5.01
00166272,2,"(주)화승
인더스트리",계열회사,9.26
00166272,3,개인,,49.69
00166272,4,개인,,
00393618,0,개인,본인,32.86
00393618,1,개인,동서,1.09
00393618,2,개인,회사임원,14.12
00393618,3,개인,회사임원,0.29
00393618,4,개인,회사임원,0.04
00393618,5,개인,,48.4
00393618,6,개인,,
00133715,0,케이씨(주),최대주주,38.66
00133715,1,개인,임직원,8.74
00133715,2,개인,임직원,7.99
00133715,3,개인,임직원,2.91
00133715,4,개인,임직원,0.0
00133715,5,개인,관계사,15.54
00133715,6,개인,관계사,6.56
00133715,7,개인,관계사,19.35
00133715,8,개인,,99.75
00133715,9,개인,,
00946030,0,개인,본인,24.1
00946030,1,개인,등기임원,0.1
00946030,2,개인,,24.2
00946030,3,개인,,
00609324,0,개인,본인,15.56
00609324,1,개인,임원,5.26
00609324,2,개인,임원,4.88
00609324,3,개인,임원,3.87
00609324,4,개인,친인척,0.6
00609324,5,개인,임원,0.21
00609324,6,개인,임원,0.03
00609324,7,개인,임원,0.02
00609324,8,개인,,30.43
00609324,9,개인,,
00143794,0,개인,본인,42.06
00143794,1,개인,특수관계인,10.05
00143794,2,개인,특수관계인,2.34
00143794,3,개인,특수관계인,2.28
00143794,4,개인,특수관계인,1.26
00143794,5,개인,특수관계인,0.98
00143794,6,개인,특수관계인,0.82
00143794,7,개인,특수관계인,0.58
00143794,8,개인,특수관계인,0.04
00143794,9,개인,,60.42
00143794,10,개인,,
00118965,0,개인,본인,20.9
00118965,1,개인,친인척,20.5
00118965,2,개인,친인척,1.2
00118965,3,개인,친인척,0.2
00118965,4,개인,,42.8
00118965,5,개인,,
00260879,0,개인,본인,8.4
00260879,1,개인,관계회사 등기임원,0.0
00260879,2,개인,관계회사 등기임원,0.0
00260879,3,개인,관계회사 등기임원,0.0
00260879,4,개인,친인척,1.65
00260879,5,개인,친인척,1.58
00260879,6,개인,친인척,0.23
00260879,7,개인,친인척,0.01
00260879,8,개인,발행회사 등기임원,6.05
00260879,9,개인,발행회사 등기임원,5.36
00260879,10,개인,발행회사 등기임원,0.02
00260879,11,개인,관계회사 등기임원,0.0
00260879,12,개인,,23.31
00260879,13,개인,,
00861100,0,개인,본인,58.01
00861100,1,개인,배우자,4.92
00861100,2,개인,임원,3.08
00861100,3,개인,친인척,0.41
00861100,4,개인,자녀,0.51
00861100,5,개인,자녀,0.51
00861100,6,개인,친인척,0.05
00861100,7,개인,친인척,0.0
00861100,8,개인,,67.49
00861100,9,개인,,
00362159,0,개인,본인,15.43
00362159,1,개인,특수관계인,0.11
00362159,2,개인,미등기 임원,0.0
00362159,3,개인,계열회사 임원,0.0
00362159,4,(주)웰크론헬스케어,기타 특수관계회사,1.84
00362159,5,개인,특수관계인,1.57
00362159,6,개인,특수관계인,0.47
00362159,7,개인,특수관계인,0.43
00362159,8,개인,특수관계인,0.43
00362159,9,개인,특수관계인,0.09
00362159,10,개인,특수관계인,0.06
00362159,11,개인,특수관계인,0.03
00362159,12,개인,특수관계인,0.07
00362159,13,개인,,20.53
00362159,14,개인,,
01303029,0,개인,본인,17.99
01303029,1,개인,등기임원,14.75
01303029,2,개인,등기임원,0.5
01303029,3,개인,,33.24
01303029,4,개인,,
01293388,0,개인,본인,22.44
01293388,1,개인,"특수관계인
(3촌 인척)",0.67
01293388,2,개인,등기임원,0.49
01293388,3,개인,"특수관계인
(4촌 인척)",0.33
01293388,4,개인,등기임원,0.12
01293388,5,개인,"특수관계인
(4촌 인척)",0.09
01293388,6,개인,비등기임원,0.05
01293388,7,개인,,24.19
01293388,8,개인,,
01394377,0,이지스자산운용(주),최대주주,16.09
01394377,1,개인,특별관계자,0.19
01394377,2,스카이밸류(주),특별관계자,0.19
01394377,3,이지스자산운용(주),최대주주,14.49
01394377,4,개인,특별관계자,0.19
01394377,5,스카이밸류(주),특별관계자,0.19
01394377,6,개인,,16.47
01394377,7,개인,,
01394377,8,개인,,14.87
01394377,9,개인,,
00561732,0,개인,본인,54.54
00561732,1,개인,임원,0.0
00561732,2,개인,임원,0.26
00561732,3,개인,임원,0.2
00561732,4,개인,,55.0
00561732,5,개인,,
00132354,0,개인,최대주주 본인,45.11
00132354,1,개인,최대주주의 형제,15.22
00132354,2,개인,최대주주의 자녀,3.15
00132354,3,쿠쿠사회복지재단,관계회사,1.37
00132354,4,개인,,64.85
00132354,5,개인,,
00417167,0,개인,최대주주 본인,41.54
00417167,1,개인,미등기임원,0.0
00417167,2,개인,특수관계인(친인척),10.76
00417167,3,개인,특수관계인(친인척),5.82
00417167,4,개인,특수관계인(친인척),5.82
00417167,5,개인,특수관계인(친인척),5.8
00417167,6,개인,사외이사,0.02
00417167,7,개인,미등기임원,0.02
00417167,8,개인,미등기임원,0.01
00417167,9,개인,미등기임원,0.01
00417167,10,개인,,69.81
00417167,11,개인,,
00631837,0,개인,최대주주,12.16
00631837,1,개인,친인척,0.9
00631837,2,개인,친인척,0.1
00631837,3,개인,친인척,0.04
00631837,4,개인,친인척,0.03
00631837,5,개인,임원,0.87
00631837,6,개인,임원,0.37
00631837,7,개인,임원,0.11
00631837,8,개인,임원,0.02
00631837,9,개인,,14.6
00631837,10,개인,,
00159254,0,개인,본인,21.34
00159254,1,개인,친인척,1.15
00159254,2,개인,친인척,1.15
00159254,3,개인,친인척,1.15
00159254,4,개인,친인척,1.46
00159254,5,(주)티에스디,관계사,3.41
00159254,6,(주)광양,관계사,9.49
00159254,7,개인,임원,0.05
00159254,8,개인,,39.18
00159254,9,개인,,
00367385,0,개인,본인,21.07
00367385,1,(주)아그로텍,-,1.06
00367385,2,개인,자녀,15.13
00367385,3,개인,자녀,4.79
00367385,4,개인,임원,1.21
00367385,5,개인,임원,0.0
00367385,6,개인,임원,0.31
00367385,7,개인,임원,0.12
00367385,8,개인,임원,0.04
00367385,9,개인,임원,0.02
00367385,10,개인,,43.75
00367385,11,개인,,
00632793,0,개인,본인,3.48
00632793,1,개인,본인,3.36
00632793,2,개인,,6.84
00632793,3,개인,,
01366824,0,개인,최대주주 본인,36.76
01366824,1,개인,최대주주 배우자,36.18
01366824,2,개인,최대주주 친인척,8.14
01366824,3,개인,최대주주 친인척,0.76
01366824,4,개인,등기임원,0.26
01366824,5,개인,등기임원,0.04
01366824,6,개인,미등기임원,0.11
01366824,7,개인,,82.25
01366824,8,개인,,
00168401,0,개인,본인,11.76
00168401,1,개인,출자법인,0.5
00168401,2,개인,출자법인,7.7
00168401,3,개인,친인척,8.57
00168401,4,개인,친인척,0.49
00168401,5,개인,친인척,0.04
00168401,6,개인,친인척,7.19
00168401,7,개인,친인척,8.09
00168401,8,개인,친인척,1.14
00168401,9,개인,친인척,0.44
00168401,10,개인,출자법인,11.09
00168401,11,개인,,57.01
00168401,12,개인,,
01407909,0,개인,본인,31.73
01407909,1,개인,친인척,0.01
01407909,2,개인,친인척,0.01
01407909,3,개인,임원,0.6
01407909,4,개인,임원,0.01
01407909,5,개인,임원,0.0
01407909,6,개인,임원,0.0
01407909,7,개인,임원,0.0
01407909,8,개인,임원,0.0
01407909,9,개인,관계회사 임원,0.01
01407909,10,개인,관계회사 임원,0.0
01407909,11,개인,자,4.87
01407909,12,(주)원메디코,관계회사,1.62
01407909,13,(주)키파홀딩스,관계회사,2.16
01407909,14,(주)원테크,관계회사,4.23
01407909,15,(주)아이원테크,관계회사,0.1
01407909,16,개인,배우자,3.88
01407909,17,개인,녀,2.46
01407909,18,개인,손녀,0.03
01407909,19,개인,손자,0.03
01407909,20,개인,자부,0.12
01407909,21,개인,친인척,0.02
01407909,22,개인,친인척,0.05
01407909,23,개인,,51.94
01407909,24,개인,,
01208849,0,개인,본인,21.26
01208849,1,개인,등기이사,1.33
01208849,2,개인,등기이사,0.08
01208849,3,개인,비등기이사,0.06
01208849,4,개인,,22.73
01208849,5,개인,,
01135640,0,개인,최대주주,11.28
01135640,1,개인,최대주주,11.28
01135640,2,개인,최대주주,11.28
01135640,3,개인,최대주주,11.28
01135640,4,개인,최대주주,11.28
01135640,5,개인,,56.42
01135640,6,개인,,
01187458,0,(주)크레이버코퍼레이션,최대주주,52.48
01187458,1,개인,등기임원,5.13
01187458,2,개인,등기임원,0.47
01187458,3,개인,,58.09
01187458,4,개인,,
01046708,0,개인,본인,21.31
01046708,1,개인,임원,0.0
01046708,2,개인,친인척,0.78
01046708,3,개인,친인척,0.28
01046708,4,개인,친인척,0.16
01046708,5,개인,친인척,0.19
01046708,6,개인,임원,2.43
01046708,7,개인,임원,0.02
01046708,8,개인,임원,0.17
01046708,9,개인,임원,0.05
01046708,10,개인,임원,0.03
01046708,11,개인,임원,0.02
01046708,12,개인,임원,0.01
01046708,13,개인,,25.44
01046708,14,개인,,
00298687,0,서울에스티비홀딩스(주),최대주주본인,70.29
00298687,1,굿모닝경제신문(주),계열회사,3.04
00298687,2,㈜스포츠서울익스트림,계열회사,3.04
00298687,3,개인,,76.37
00298687,4,개인,,0.0
00688358,0,개인,최대주주,36.08
00688358,1,개인,임원,0.08
00688358,2,개인,임원,0.08
00688358,3,개인,최대주주 특수관계인,0.07
00688358,4,개인,임원,0.01
00688358,5,개인,계열회사 임원,2.67
00688358,6,개인,계열회사 임원,1.98
00688358,7,개인,최대주주 특수관계인,1.6
00688358,8,개인,최대주주 특수관계인,0.31
00688358,9,개인,임원,0.21
00688358,10,개인,임원,0.13
00688358,11,개인,임원,0.08
00688358,12,개인,임원,0.08
00688358,13,개인,,43.38
00688358,14,개인,,
00599151,0,개인,본인,16.23
00599151,1,에스브이파트너스(주),관계회사,10.13
00599151,2,개인,등기임원,0.0
00599151,3,개인,관계사등기임원,0.12
00599151,4,개인,미등기임원,0.0
00599151,5,개인,미등기임원,0.0
00599151,6,개인,,26.48
00599151,7,개인,,
01532603,0,(주)화승코퍼레이션,최대주주,32.79
01532603,1,개인,임원,13.48
01532603,2,(주)화승인더스트리,계열회사,9.26
01532603,3,개인,"최대주주의
최대주주",0.43
01532603,4,개인,,55.97
01532603,5,개인,,
01415892,0,미래에셋자산운용(주),최대주주 본인,6.96
01415892,1,미래에셋자산운용(주),최대주주 본인,8.51
01415892,2,개인,,6.96
01415892,3,개인,,
01415892,4,개인,,8.51
01415892,5,개인,,
00111458,0,신대양제지(주),본인,45.97
00111458,1,신대양제지반월(주),계열사,3.26
00111458,2,(주)광신판지,계열사,2.11
00111458,3,개인,임원,0.09
00111458,4,개인,,51.43
00111458,5,개인,,
00218575,0,개인,본인,33.67
00218575,1,개인,친인척,9.34
00218575,2,개인,친인척,8.85
00218575,3,개인,친인척,4.38
00218575,4,개인,,56.24
00218575,5,개인,,
00991191,0,개인,최대주주,6.85
00991191,1,개인,자,4.11
00991191,2,개인,동서,0.55
00991191,3,개인,처,0.49
00991191,4,개인,처제,0.1
00991191,5,개인,처제,0.03
00991191,6,개인,임원,0.02
00991191,7,개인,임원,0.0
00991191,8,개인,,12.15
00991191,9,개인,,
00134316,0,(주)에스엔아이,특수,21.01
00134316,1,개인,특수,10.48
00134316,2,개인,특수,3.77
00134316,3,(주)에스엠티,특수,3.0
00134316,4,개인,특수,4.26
00134316,5,개인,특수,2.3
00134316,6,개인,특수,1.3
00134316,7,개인,특수,0.94
00134316,8,"재단법인세원
인재육성문화재단",특수,0.5
00134316,9,개인,,47.56
00134316,10,개인,,
01301623,0,개인,최대주주 본인,50.53
01301623,1,개인,최대주주의 자녀,1.65
01301623,2,개인,,52.18
01301623,3,개인,,
00139685,0,개인,本人,40.49
00139685,1,개인,子,13.97
00139685,2,개인,子,13.3
00139685,3,(주)명지문화,특수관계,1.69
00139685,4,개인,,69.45
00139685,5,개인,,
00830447,0,개인,본 인,40.17
00830447,1,개인,임 원,0.2
00830447,2,개인,임 원,12.31
00830447,3,개인,임 원,0.27
00830447,4,개인,친 족,0.41
00830447,5,개인,친 족,0.95
00830447,6,개인,친 족,0.41
00830447,7,개인,임 원,0.03
00830447,8,개인,임 원,1.08
00830447,9,개인,임 원,0.32
00830447,10,개인,,56.13
00830447,11,개인,,
01267684,0,쿠쿠홀딩스(주),최대주주,40.55
01267684,1,개인,특수관계인,20.53
01267684,2,개인,최대주주의 자녀,4.21
01267684,3,개인,특수관계인,2.97
01267684,4,쿠쿠사회복지재단,관계회사,1.84
01267684,5,개인,,70.09
01267684,6,개인,,
00975290,0,(주)이에스프로덕션,최대주주,13.13
00975290,1,개인,특수관계인,12.58
00975290,2,개인,특수관계인,0.05
00975290,3,개인,,25.76
00975290,4,개인,,
00867973,0,개인,본인,3.75
00867973,1,개인,특수관계인,2.89
00867973,2,개인,특수관계인,1.74
00867973,3,개인,특수관계인,0.04
00867973,4,개인,,
00867973,5,개인,,8.43
00828761,0,개인,"최대주주 
본인",8.64
00828761,1,개인,등기임원,0.02
00828761,2,개인,"계열회사 
등기임원",0.02
00828761,3,개인,"계열회사 
등기임원",0.1
00828761,4,개인,"계열회사 
등기임원",0.02
00828761,5,(주)레이홀딩스,계열회사,7.51
00828761,6,(주)레이홀딩스,계열회사,100.0
00828761,7,개인,등기임원,0.21
00828761,8,개인,"계열회사 
등기임원",0.01
00828761,9,개인,"계열회사 
등기임원",0.03
00828761,10,개인,"계열회사 
등기임원",0.07
00828761,11,개인,"계열회사 
등기임원",0.0
00828761,12,개인,"계열회사 
등기임원",0.0
00828761,13,개인,,16.61
00828761,14,개인,,100.0
00122348,0,개인,본인,38.99
00122348,1,개인,임원,0.01
00122348,2,개인,특수관계인,0.0
00122348,3,개인,특수관계인,0.01
00122348,4,개인,특수관계인,0.43
00122348,5,(주)하잠,기타 특수관계인,1.68
00122348,6,개인,임원,0.01
00122348,7,개인,임원,0.01
00122348,8,개인,임원,0.01
00122348,9,개인,임원,0.0
00122348,10,개인,,41.15
00122348,11,개인,,0.0
00170877,0,개인,최대주주,27.39
00170877,1,개인,특수관계인,18.26
00170877,2,개인,특수관계인,18.26
00170877,3,개인,임원,1.67
00170877,4,개인,임원,0.01
00170877,5,개인,임원,0.0
00170877,6,개인,,65.6
00170877,7,개인,,
00963000,0,개인,본인,41.54
00963000,1,개인,처형,2.97
00963000,2,개인,자녀,2.97
00963000,3,개인,동생,2.96
00963000,4,개인,제수,2.97
00963000,5,개인,,53.41
00963000,6,개인,,
00877819,0,(주)오픈베이스,본인,65.47
00877819,1,개인,계열회사 임원,0.62
00877819,2,개인,,65.47
00877819,3,개인,,0.62
00147222,0,삼영엔지니어링(주),본인,4.48
00147222,1,(주)전산텍스,기타,4.61
00147222,2,(재)정덕재단,기타,6.77
00147222,3,삼동산업(주),기타,0.21
00147222,4,개인,친인척,0.45
00147222,5,개인,임원,0.0
00147222,6,개인,,
00147222,7,개인,,16.52
00145464,0,개인,본인,24.66
00145464,1,개인,친인척,0.32
00145464,2,개인,친인척,0.32
00145464,3,개인,친인척,0.32
00145464,4,개인,친인척,0.39
00145464,5,개인,친인척,0.29
00145464,6,개인,친인척,0.29
00145464,7,개인,친인척,0.16
00145464,8,개인,친인척,0.29
00145464,9,개인,친인척,0.3
00145464,10,개인,친인척,0.05
00145464,11,개인,제,4.32
00145464,12,개인,친인척,0.02
00145464,13,개인,친인척,0.02
