record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,commodity_code,observed_at,published_at,vintage_date,value,unit,currency,source_id,trust_grade
ext-02-b5b68af8bc48,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ea79a9973315,EXT2-SULFURIC_ACID-202110,SULFURIC_ACID,2021-10-31,2021-11-07,2021-11-07,119.673,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-ee426522a4e8,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-034fe4eea549,EXT2-LITHIUM-202110,LITHIUM,2021-10-31,2021-11-07,2021-11-07,24991.7898,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-be1c39ff8c37,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e8e0b3d4f66f,EXT2-COPPER-202111,COPPER,2021-11-30,2021-12-07,2021-12-07,10080.9707,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-5d573b6783e2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5ba47a76b570,EXT2-NICKEL-202111,NICKEL,2021-11-30,2021-12-07,2021-12-07,14266.9815,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-2cb9d53fc9c4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-353cdd028506,EXT2-SULFURIC_ACID-202111,SULFURIC_ACID,2021-11-30,2021-12-07,2021-12-07,121.7757,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-35a06370e07e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5c1018301018,EXT2-LITHIUM-202111,LITHIUM,2021-11-30,2021-12-07,2021-12-07,25472.3761,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-e912a5b7ad7e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3060ad157ce7,EXT2-COPPER-202112,COPPER,2021-12-31,2022-01-07,2022-01-07,9817.0756,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-b77315b871da,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1430bd2d8c31,EXT2-NICKEL-202112,NICKEL,2021-12-31,2022-01-07,2022-01-07,13767.0688,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-6ab8a470ee48,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d718e62e595,EXT2-SULFURIC_ACID-202112,SULFURIC_ACID,2021-12-31,2022-01-07,2022-01-07,123.6083,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-8e577f23c587,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fe10d153abe7,EXT2-LITHIUM-202112,LITHIUM,2021-12-31,2022-01-07,2022-01-07,25934.8036,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-bc0a2bffb7ca,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d2e97ace430f,EXT2-COPPER-202201,COPPER,2022-01-31,2022-02-07,2022-02-07,9880.9221,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-34ad46a36902,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0d272c292293,EXT2-NICKEL-202201,NICKEL,2022-01-31,2022-02-07,2022-02-07,14078.8128,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-1dfb2a7cc61d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fc3ea4f203f1,EXT2-SULFURIC_ACID-202201,SULFURIC_ACID,2022-01-31,2022-02-07,2022-02-07,125.0977,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-6becb73d5bde,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9209cc2f09f1,EXT2-LITHIUM-202201,LITHIUM,2022-01-31,2022-02-07,2022-02-07,26373.3692,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-d92cf9fe0555,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f2216d364baf,EXT2-COPPER-202202,COPPER,2022-02-28,2022-03-07,2022-03-07,9827.5021,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-52a47f88a2fb,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ac2eab4f19a,EXT2-NICKEL-202202,NICKEL,2022-02-28,2022-03-07,2022-03-07,15272.4992,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-d8fa83c594df,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-866d519d0a8a,EXT2-SULFURIC_ACID-202202,SULFURIC_ACID,2022-02-28,2022-03-07,2022-03-07,126.1845,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-a3e3b3175408,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-720dde8d968c,EXT2-LITHIUM-202202,LITHIUM,2022-02-28,2022-03-07,2022-03-07,26782.6641,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-499730164fde,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0ed866268a00,EXT2-COPPER-202203,COPPER,2022-03-31,2022-04-07,2022-04-07,9894.4966,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-f1b42fa06065,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-452f0a683c5e,EXT2-NICKEL-202203,NICKEL,2022-03-31,2022-04-07,2022-04-07,13138.2781,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-4db1a8b84781,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-93661b97ca58,EXT2-SULFURIC_ACID-202203,SULFURIC_ACID,2022-03-31,2022-04-07,2022-04-07,126.8254,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-2d6ef81f6b07,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c45fa429efc0,EXT2-LITHIUM-202203,LITHIUM,2022-03-31,2022-04-07,2022-04-07,27157.6404,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-896e780a8550,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2fa9185d7d86,EXT2-COPPER-202204,COPPER,2022-04-30,2022-05-07,2022-05-07,10130.4167,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-b01249c42259,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9fa70cc0f81e,EXT2-NICKEL-202204,NICKEL,2022-04-30,2022-05-07,2022-05-07,12977.1901,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-e4a28b215cd8,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-25d954fec611,EXT2-SULFURIC_ACID-202204,SULFURIC_ACID,2022-04-30,2022-05-07,2022-05-07,126.9949,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-7b4a2aad2324,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6fc9742d002a,EXT2-LITHIUM-202204,LITHIUM,2022-04-30,2022-05-07,2022-05-07,27493.6736,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-13383d0a64d0,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e3180f84c9d,EXT2-COPPER-202205,COPPER,2022-05-31,2022-06-07,2022-06-07,10703.5433,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-d0ea0d1f0f66,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8b7a551e6c84,EXT2-NICKEL-202205,NICKEL,2022-05-31,2022-06-07,2022-06-07,13398.1961,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-65de1fd67219,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0306e82ae401,EXT2-SULFURIC_ACID-202205,SULFURIC_ACID,2022-05-31,2022-06-07,2022-06-07,126.6862,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-990d4b884ede,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-78436beeaace,EXT2-LITHIUM-202205,LITHIUM,2022-05-31,2022-06-07,2022-06-07,27786.6194,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-ccf1f7aa1e4c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8695c230672c,EXT2-COPPER-202206,COPPER,2022-06-30,2022-07-07,2022-07-07,10628.0933,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-373838b22eea,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ffea0a2a4c4,EXT2-NICKEL-202206,NICKEL,2022-06-30,2022-07-07,2022-07-07,13037.6127,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-005e5f4a41b0,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0a866700597d,EXT2-SULFURIC_ACID-202206,SULFURIC_ACID,2022-06-30,2022-07-07,2022-07-07,125.9116,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-f3f667b8aa1f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-02253a32fe28,EXT2-LITHIUM-202206,LITHIUM,2022-06-30,2022-07-07,2022-07-07,28032.8649,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-637aa357439d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3cce3e43a023,EXT2-COPPER-202207,COPPER,2022-07-31,2022-08-07,2022-08-07,10847.3038,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-0d7420c14e66,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-31a1784205f4,EXT2-NICKEL-202207,NICKEL,2022-07-31,2022-08-07,2022-08-07,14139.8166,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-7feaf5d1ed77,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d5745f0f0dae,EXT2-SULFURIC_ACID-202207,SULFURIC_ACID,2022-07-31,2022-08-07,2022-08-07,124.702,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-bf794c3890fa,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-39b275dca22b,EXT2-LITHIUM-202207,LITHIUM,2022-07-31,2022-08-07,2022-08-07,28229.3731,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-42d57d24ea32,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-14885654c133,EXT2-COPPER-202208,COPPER,2022-08-31,2022-09-07,2022-09-07,10145.3786,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-8fc7dc4faafe,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d38f41b14fba,EXT2-NICKEL-202208,NICKEL,2022-08-31,2022-09-07,2022-09-07,13734.3223,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-0eb84b42abba,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1eddc6a7b5e4,EXT2-SULFURIC_ACID-202208,SULFURIC_ACID,2022-08-31,2022-09-07,2022-09-07,123.1056,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-705a1cbd3169,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c9102bb5109b,EXT2-LITHIUM-202208,LITHIUM,2022-08-31,2022-09-07,2022-09-07,28373.7206,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-3a915aeb3504,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-969a3ce4d95a,EXT2-COPPER-202209,COPPER,2022-09-30,2022-10-07,2022-10-07,10512.5659,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-ea5c0c7b269d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5b8cafbd0f6d,EXT2-NICKEL-202209,NICKEL,2022-09-30,2022-10-07,2022-10-07,12658.9797,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-3f2195ee6c79,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-57c238d1469e,EXT2-SULFURIC_ACID-202209,SULFURIC_ACID,2022-09-30,2022-10-07,2022-10-07,121.186,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-8fef8032927c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b41ed1aecc2a,EXT2-LITHIUM-202209,LITHIUM,2022-09-30,2022-10-07,2022-10-07,28464.127,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-380bda2a6c7e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e056b46e042b,EXT2-COPPER-202210,COPPER,2022-10-31,2022-11-07,2022-11-07,10403.009,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-3caaa5e4b42e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7d0bd3ea2e04,EXT2-NICKEL-202210,NICKEL,2022-10-31,2022-11-07,2022-11-07,13031.4752,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-cea96158aaff,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-83e4c274f215,EXT2-SULFURIC_ACID-202210,SULFURIC_ACID,2022-10-31,2022-11-07,2022-11-07,119.0199,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-b325c8ab7885,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cdb032c2c38a,EXT2-LITHIUM-202210,LITHIUM,2022-10-31,2022-11-07,2022-11-07,28499.4774,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-945b9bb8d1cd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b72ab4124afe,EXT2-COPPER-202211,COPPER,2022-11-30,2022-12-07,2022-12-07,10043.4059,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-50316d4b78d2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-98792d3bcf8c,EXT2-NICKEL-202211,NICKEL,2022-11-30,2022-12-07,2022-12-07,12719.5944,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-d19d10f092e7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7b74965c0a29,EXT2-SULFURIC_ACID-202211,SULFURIC_ACID,2022-11-30,2022-12-07,2022-12-07,116.6934,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-7d2e6c6a9b35,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-781d2088efd9,EXT2-LITHIUM-202211,LITHIUM,2022-11-30,2022-12-07,2022-12-07,28479.3358,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-0bfd54c22975,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b3ce36176590,EXT2-COPPER-202212,COPPER,2022-12-31,2023-01-07,2023-01-07,9916.6585,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-15c3236e18a9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2c9f1651b614,EXT2-NICKEL-202212,NICKEL,2022-12-31,2023-01-07,2023-01-07,13428.2274,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-4b9a52aeab6c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d1acd35b8901,EXT2-SULFURIC_ACID-202212,SULFURIC_ACID,2022-12-31,2023-01-07,2023-01-07,114.2995,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-fdbb543e954c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6d7f6f76306f,EXT2-LITHIUM-202212,LITHIUM,2022-12-31,2023-01-07,2023-01-07,28403.9507,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-ac4094f6903d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-73ec65ec7706,EXT2-COPPER-202301,COPPER,2023-01-31,2023-02-07,2023-02-07,10238.435,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-a08bf0437efd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d4b901c40fad,EXT2-NICKEL-202301,NICKEL,2023-01-31,2023-02-07,2023-02-07,11340.171,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-09f1352d1141,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-cd2609523237,EXT2-SULFURIC_ACID-202301,SULFURIC_ACID,2023-01-31,2023-02-07,2023-02-07,111.9335,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-02-e0b8f3407a1c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f235cc41bed6,EXT2-LITHIUM-202301,LITHIUM,2023-01-31,2023-02-07,2023-02-07,28274.2517,USD/TON,USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
