record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,observation_id,indicator_code,observed_at,published_at,vintage_date,value,unit,source_id,trust_grade
ext-01-3cabb9317f7e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6a20916903b8,EXT1-BASE_RATE_KR-202111,BASE_RATE_KR,2021-11-30,2021-12-10,2021-12-10,3.3782,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-9d444cd1a486,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b1790a8ac54c,EXT1-PPI_MFG-202111,PPI_MFG,2021-11-30,2021-12-10,2021-12-10,101.0791,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-0089a1ee6bd3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3aab63d63f75,EXT1-USD_KRW-202112,USD_KRW,2021-12-31,2022-01-10,2022-01-10,1190.108,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-25933e81a0d4,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-59794c290abb,EXT1-BASE_RATE_KR-202112,BASE_RATE_KR,2021-12-31,2022-01-10,2022-01-10,3.4178,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-332fde787302,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-22f27a0a788f,EXT1-PPI_MFG-202112,PPI_MFG,2021-12-31,2022-01-10,2022-01-10,101.4076,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-6f75835814f2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-158b9234744d,EXT1-USD_KRW-202201,USD_KRW,2022-01-31,2022-02-10,2022-02-10,1193.3789,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-50c15bfbb52f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-83ecba914150,EXT1-BASE_RATE_KR-202201,BASE_RATE_KR,2022-01-31,2022-02-10,2022-02-10,3.4548,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7aa507d87f7f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0797fc57f125,EXT1-PPI_MFG-202201,PPI_MFG,2022-01-31,2022-02-10,2022-02-10,101.7103,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-486b92ae50a3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-92b74f8d627a,EXT1-USD_KRW-202202,USD_KRW,2022-02-28,2022-03-10,2022-03-10,1204.6179,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-961b2180df79,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66c9bbdb9338,EXT1-BASE_RATE_KR-202202,BASE_RATE_KR,2022-02-28,2022-03-10,2022-03-10,3.4886,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e942dc8e2007,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e19a03236dba,EXT1-PPI_MFG-202202,PPI_MFG,2022-02-28,2022-03-10,2022-03-10,101.9822,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-2be1a2800e60,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84f707574b7f,EXT1-USD_KRW-202203,USD_KRW,2022-03-31,2022-04-10,2022-04-10,1209.0739,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-653af668db9b,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dd83b63d22fd,EXT1-BASE_RATE_KR-202203,BASE_RATE_KR,2022-03-31,2022-04-10,2022-04-10,3.5186,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-779c33a7865d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e8218b13cff1,EXT1-PPI_MFG-202203,PPI_MFG,2022-03-31,2022-04-10,2022-04-10,102.2192,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7b02e1fd1f52,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d2330fcdaf92,EXT1-USD_KRW-202204,USD_KRW,2022-04-30,2022-05-10,2022-05-10,1242.8773,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-69a7e0305b8f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c0da1274fdaa,EXT1-BASE_RATE_KR-202204,BASE_RATE_KR,2022-04-30,2022-05-10,2022-05-10,3.5445,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-f25e5965307f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e794d0c23755,EXT1-PPI_MFG-202204,PPI_MFG,2022-04-30,2022-05-10,2022-05-10,102.4179,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7b175a66606d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3a90bb9689bf,EXT1-USD_KRW-202205,USD_KRW,2022-05-31,2022-06-10,2022-06-10,1242.6366,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-97c3caa136a2,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7826680f90f,EXT1-BASE_RATE_KR-202205,BASE_RATE_KR,2022-05-31,2022-06-10,2022-06-10,3.5658,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-0407271f9668,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8d31001df127,EXT1-PPI_MFG-202205,PPI_MFG,2022-05-31,2022-06-10,2022-06-10,102.5762,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-75c80370a8c6,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e49a31351101,EXT1-USD_KRW-202206,USD_KRW,2022-06-30,2022-07-10,2022-07-10,1264.6755,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-86d8c2c08526,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-646221805581,EXT1-BASE_RATE_KR-202206,BASE_RATE_KR,2022-06-30,2022-07-10,2022-07-10,3.5821,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-cd65e609d76a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2820a1a4018b,EXT1-PPI_MFG-202206,PPI_MFG,2022-06-30,2022-07-10,2022-07-10,102.6931,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-91cb049f371f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5022d5f0f5b8,EXT1-USD_KRW-202207,USD_KRW,2022-07-31,2022-08-10,2022-08-10,1321.0658,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e319b83b963d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7a1ca6bed62,EXT1-BASE_RATE_KR-202207,BASE_RATE_KR,2022-07-31,2022-08-10,2022-08-10,3.5933,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-880c158ada06,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-639b032a1a6b,EXT1-PPI_MFG-202207,PPI_MFG,2022-07-31,2022-08-10,2022-08-10,102.7686,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e95abbe61d2c,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-89f6e3bd8903,EXT1-USD_KRW-202208,USD_KRW,2022-08-31,2022-09-10,2022-09-10,1316.003,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-b172e48957a6,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2339641a637f,EXT1-BASE_RATE_KR-202208,BASE_RATE_KR,2022-08-31,2022-09-10,2022-09-10,3.5991,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-9d693b50dd89,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8476d42220ce,EXT1-PPI_MFG-202208,PPI_MFG,2022-08-31,2022-09-10,2022-09-10,102.8039,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7b5fa7d88306,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b0ed96f2ed35,EXT1-USD_KRW-202209,USD_KRW,2022-09-30,2022-10-10,2022-10-10,1358.6345,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-c1f33612eb2a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b790004ff5f5,EXT1-BASE_RATE_KR-202209,BASE_RATE_KR,2022-09-30,2022-10-10,2022-10-10,3.5995,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-eac4d1ab8121,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9fcfca1dceb8,EXT1-PPI_MFG-202209,PPI_MFG,2022-09-30,2022-10-10,2022-10-10,102.8015,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-0c31ce42519e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b7c1eead1ba8,EXT1-USD_KRW-202210,USD_KRW,2022-10-31,2022-11-10,2022-11-10,1339.8913,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e5917b0162ef,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-fb2213e09d73,EXT1-BASE_RATE_KR-202210,BASE_RATE_KR,2022-10-31,2022-11-10,2022-11-10,3.5944,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-6bef91af9476,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-741915289347,EXT1-PPI_MFG-202210,PPI_MFG,2022-10-31,2022-11-10,2022-11-10,102.7646,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e50e01614735,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-027712958f7f,EXT1-USD_KRW-202211,USD_KRW,2022-11-30,2022-12-10,2022-12-10,1302.1308,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-3a2ecf6c7132,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a6923e98bd98,EXT1-BASE_RATE_KR-202211,BASE_RATE_KR,2022-11-30,2022-12-10,2022-12-10,3.5839,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-9c8ded62664d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6a54898c12cd,EXT1-PPI_MFG-202211,PPI_MFG,2022-11-30,2022-12-10,2022-12-10,102.6977,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e5a40cf17652,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84fa2d4be1ba,EXT1-USD_KRW-202212,USD_KRW,2022-12-31,2023-01-10,2023-01-10,1315.6864,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-0ec7f9a17a4f,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9b4fb3b05665,EXT1-BASE_RATE_KR-202212,BASE_RATE_KR,2022-12-31,2023-01-10,2023-01-10,3.5683,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-124d7657ffc9,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2bbcd84dc9c4,EXT1-PPI_MFG-202212,PPI_MFG,2022-12-31,2023-01-10,2023-01-10,102.6059,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7020a0e0e327,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-10317d6fa444,EXT1-USD_KRW-202301,USD_KRW,2023-01-31,2023-02-10,2023-02-10,1303.4205,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-3482ab1897fd,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-988143be7347,EXT1-BASE_RATE_KR-202301,BASE_RATE_KR,2023-01-31,2023-02-10,2023-02-10,3.5476,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-6713b84c9428,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-81484ec185ff,EXT1-PPI_MFG-202301,PPI_MFG,2023-01-31,2023-02-10,2023-02-10,102.4951,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-299e9a8a9dd7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-472158f3830c,EXT1-USD_KRW-202302,USD_KRW,2023-02-28,2023-03-10,2023-03-10,1271.9782,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-8aee172b482e,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3f8e3059aba0,EXT1-BASE_RATE_KR-202302,BASE_RATE_KR,2023-02-28,2023-03-10,2023-03-10,3.5223,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-79eab3634475,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7a722abeca10,EXT1-PPI_MFG-202302,PPI_MFG,2023-02-28,2023-03-10,2023-03-10,102.3717,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-7dcbfb90660d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-343f9e4d1dd3,EXT1-USD_KRW-202303,USD_KRW,2023-03-31,2023-04-10,2023-04-10,1291.658,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-719dbba2f416,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-117f885d541e,EXT1-BASE_RATE_KR-202303,BASE_RATE_KR,2023-03-31,2023-04-10,2023-04-10,3.4928,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-99e619cc9820,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f8499d47b766,EXT1-PPI_MFG-202303,PPI_MFG,2023-03-31,2023-04-10,2023-04-10,102.2424,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-33ab93299bc3,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1018aeb777f4,EXT1-USD_KRW-202304,USD_KRW,2023-04-30,2023-05-10,2023-05-10,1308.7392,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-a57e631a51ca,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-595bbdf990ae,EXT1-BASE_RATE_KR-202304,BASE_RATE_KR,2023-04-30,2023-05-10,2023-05-10,3.4595,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-fc3858942585,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-76e42306aaeb,EXT1-PPI_MFG-202304,PPI_MFG,2023-04-30,2023-05-10,2023-05-10,102.1141,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-c3d6b9f2325a,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0974257390f4,EXT1-USD_KRW-202305,USD_KRW,2023-05-31,2023-06-10,2023-06-10,1319.5245,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-e1cbaf78393d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-03732456a29b,EXT1-BASE_RATE_KR-202305,BASE_RATE_KR,2023-05-31,2023-06-10,2023-06-10,3.4229,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-c777f2ed5abe,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2ac3fac15bbd,EXT1-PPI_MFG-202305,PPI_MFG,2023-05-31,2023-06-10,2023-06-10,101.9938,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-c523e00c5f42,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-97dda42c10e0,EXT1-USD_KRW-202306,USD_KRW,2023-06-30,2023-07-10,2023-07-10,1323.277,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-6af3714504ef,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-71109fdd9bde,EXT1-BASE_RATE_KR-202306,BASE_RATE_KR,2023-06-30,2023-07-10,2023-07-10,3.3836,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-6e49dd4c7fca,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-49f82393d3aa,EXT1-PPI_MFG-202306,PPI_MFG,2023-06-30,2023-07-10,2023-07-10,101.8881,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-30d565169922,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-41dfefd682ea,EXT1-USD_KRW-202307,USD_KRW,2023-07-31,2023-08-10,2023-08-10,1320.0799,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-abc5974da882,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-66ec8f0e5729,EXT1-BASE_RATE_KR-202307,BASE_RATE_KR,2023-07-31,2023-08-10,2023-08-10,3.3422,%,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-4d0e7ea377b7,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-01febfe88923,EXT1-PPI_MFG-202307,PPI_MFG,2023-07-31,2023-08-10,2023-08-10,101.8032,INDEX,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
ext-01-29aecda7d67d,tenant-afs-demo-materials,org-afs-demo-group,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e4531dd6974,EXT1-USD_KRW-202308,USD_KRW,2023-08-31,2023-09-10,2023-09-10,1314.7021,KRW/USD,AFS_SYNTHETIC_REFERENCE,DEMO_ONLY
